IMPORTANT :

This document is based on the standard data model of Sage X3 and may contain errors as it is an AI translation from images.
Throughout the document, tables are generally represented in the form XXX - YYYYYYYYYY where XXX is the abbreviated code of the table and YYYYYYYYYY is the actual code of the table in the database.
For fields, sometimes the notation AAAA: BBBBBBBBBB is used, where AAAA indicates the index code and BBBBBBBBBB indicates the field code.

This document, though assisted by AI, bears the mark of Guillaume Clément's passionate dedication, which spanned countless hours.

# COMMON DATA 1 - COMPANY AND SITES

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
FCY - FACILITY | Sites | FCY0 : FCY | PAY.BAN | BAN - BANK | Bank accounts | BAN0 : BAN
BAN - BANK | Bank accounts | BAN0 : BAN | PAY.BAN | FCY - FACILITY | Sites | FCY0 : FCY
BAN - BANK | Bank accounts | BAN0 : BAN | BPA.NUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
BAN - BANK | Bank accounts | BAN0 : BAN | CPY0 : CPY | CPY - COMPANY | Company | CPY0 : CPY
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | BPA.NUM | BAN - BANK | Bank accounts | BAN0 : BAN
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | FCY.BPA.NUM | FCY - FACILITY | Sites | FCY0 : FCY
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | CPY.BPA.NUM | CPY - COMPANY | Company | CPY0 : CPY
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | FGR.BPANUM | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
CAC - GACCCODE | Accounting codes | CAC0 : TYPE + CAC0.COD | CPY0 : ACC0 | CPY - COMPANY | Company | CPY0 : CPY
TCY - TABCOUNTRY | Country table | TCY0 : CPY | CPY | CPY - COMPANY | Company | CPY0 : CPY
TCY - TABCOUNTRY | Country table | TCY0 : CPY | TCUR | TCU - TABCUR | Currency table | TCU0 : CUR
TCU - TABCUR | Currency table | TCU0 : CUR | RGSCUR | CPY - COMPANY | Company | CPY0 : CPY
TCU - TABCUR | Currency table | TCU0 : CUR | ACC0CUR | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPANUM + CNCRNM
CNT - CONTACT | Contacts | CNT0 : BPATYP + BPANUM + CNCRNM | BPANUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | BPANUM | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPANUM + CNCRNM
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | BID0 | BID - BID | Bank ID statement | BID0 : BPATYP + BPANUM + BPADD
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | BPA0.NUM | CPY - COMPANY | Company | CPY0 : CPY
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | BPA0.NUM | FCY - FACILITY | Sites | FCY0 : FCY
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD | BPA0.NUM | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
CPY - COMPANY | Company | CPY0 : CPY | TCY0 : CPY | TCY - TABCOUNTRY | Country table | TCY0 : CPY
CPY - COMPANY | Company | CPY0 : CPY | RGSCUR | TCU - TABCUR | Currency table | TCU0 : CUR
CPY - COMPANY | Company | CPY0 : CPY | 7:ACC0COD | CAC - GACCCODE | Accounting codes | CAC0 : TYPE + ACC0.COD
CPY - COMPANY | Company | CPY0 : CPY | 8:ACC0COD | CCE - CACCE | Dimensions | CCE0 : DIE + CCE
CPY - COMPANY | Company | CPY0 : CPY | BPA0.NUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
CPY - COMPANY | Company | CPY0 : CPY | PAY.BAN | BAN - BANK | Bank accounts | BAN0 : BAN
CPY - COMPANY | Company | CPY0 : CPY | FCY0 : CPY | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
CPY - COMPANY | Company | CPY0 : CPY | FCY0 : CPY | FCY - FACILITY | Sites | FCY0 : FCY
CAC - GACCCODE | Accounting codes | CAC0 : TYPE + ACC0.COD | ACC0COD | CPY - COMPANY | Company | CPY0 : CPY
CAC - GACCCODE | Accounting codes | CAC0 : TYPE + ACC0.COD | 8:ACC0COD | CCE - CACCE | Dimensions | CCE0 : DIE + CCE
CCE - CACCE | Dimensions | CCE0 : DIE + CCE | CCE0 | CAC - GACCCODE | Accounting codes | CAC0 : TYPE + ACC0.COD
CCE - CACCE | Dimensions | CCE0 : DIE + CCE | 8:ACC0COD | CPY - COMPANY | Company | CPY0 : CPY
FCY - FACILITY | Sites | FCY0 : FCY | BPA0.NUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
FCY - FACILITY | Sites | FCY0 : FCY | PAY.BAN | BAN - BANK | Bank accounts | BAN0 : BAN
FCY - FACILITY | Sites | FCY0 : FCY | FCY0 : CPY | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
FCY - FACILITY | Sites | FCY0 : FCY | FCY0 : CPY | CPY - COMPANY | Company | CPY0 : CPY
BAN - BANK | Bank accounts | BAN0 : BAN | BPA0.NUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
BAN - BANK | Bank accounts | BAN0 : BAN | PAY.BAN | CPY - COMPANY | Company | CPY0 : CPY
BAN - BANK | Bank accounts | BAN0 : BAN | PAY.BAN | FCY - FACILITY | Sites | FCY0 : FCY
BID - BID | Bank ID statement | BID0 : BPATYP + BPANUM + BPADD | BPA0.NUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
The abbreviations (like CPY0, BPA.NUM, etc.) represent the fields involved in each relationship.

# COMMON DATA 2 - ITEM

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITS - ITMSALES | Products - sales | ITS0 : ITMREF
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITH - ITMTHVIS | Total product - site history | ITH0 : ITMREF + STOFCY + PERSTR
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFCY
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITK - ITMABCWRK | ABC Class calculation | ITK0 : STOFCY + ITMREF
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF.STOFCY | ITV - ITMMVT | Product-site totals | ITV0 : ITMREF + STOFCY
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF.STOFCY | ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF.STOFCY | ITB - ITMBOM | Products - BOMs | ITB0 : ITMREF + BOMALT + LINCTYP
ITM - ITMMASTER | Products | ITM0 : ITMREF | BPC.NUM | BPC - BPCCUSTOMER | Customers | BPC0 : BPCNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | TPLCOD | TLP - TABLINC | Product lines | TLP0 : CFGLIN
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITU - ITMBPC | Customer product | ITU0 : ITMREF + BPCNUM
ITS - ITMSALES | Products - sales | ITS0 : ITMREF | BPC.NUM | BPC - BPCCUSTOMER | Customers | BPC0 : BPCNUM
ITS - ITMSALES | Products - sales | ITS0 : ITMREF | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
BPC - BPCCUSTOMER | Customers | BPC0 : BPCNUM | BPC.NUM | ITS - ITMSALES | Products - sales | ITS0 : ITMREF
BPC - BPCCUSTOMER | Customers | BPC0 : BPCNUM | ITMREF | ITU - ITMBPC | Customer product | ITU0 : ITMREF + BPCNUM
ITU - ITMBPC | Customer product | ITU0 : ITMREF + BPCNUM | BPC.NUM | BPC - BPCCUSTOMER | Customers | BPC0 : BPCNUM
ITU - ITMBPC | Customer product | ITU0 : ITMREF + BPCNUM | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFCY | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFCY | ITMREF.STOFCY | ITV - ITMMVT | Product-site totals | ITV0 : ITMREF + STOFCY
ITV - ITMMVT | Product-site totals | ITV0 : ITMREF + STOFCY | ITMREF.STOFCY | ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFCY
ITV - ITMMVT | Product-site totals | ITV0 : ITMREF + STOFCY | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITH - ITMTHVIS | Total product - site history | ITH0 : ITMREF + STOFCY + PERSTR | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITK - ITMABCWRK | ABC Class calculation | ITK0 : STOFCY + ITMREF | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM | ITMREF.STOFCY | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITB - ITMBOM | Products - BOMs | ITB0 : ITMREF + BOMALT + LINCTYP | ITMREF.STOFCY | ITM - ITMMASTER | Products | ITM0 : ITMREF
CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACC0.COD + COA | ACC0.COD | COT - CONTEMPL | Service contract template | COT0 : CONNUM
COT - CONTEMPL | Service contract template | COT0 : CONNUM | ACC0.COD | CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACC0.COD + COA

# COMMON DATA 3 - BUSINESS PARTNER

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | BPRNUM | BPE - BPEXCEPT | BP-Company exception | BPE0 : BPRNUM + CPY
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | BPRNUM | BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | BPRNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | BPRNUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | BPRNUM | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | REPNUM | REP - SALESREP | Sales rep | REP0 : REPNUM
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | 17:ACCCOD | CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACC0.COD + COA
BPE - BPEXCEPT | BP-Company exception | BPE0 : BPRNUM + CPY | BPRNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPE - BPEXCEPT | BP-Company exception | BPE0 : BPRNUM + CPY | CPY | CPY - COMPANY | Company | CPY0 : CPY
BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM | BPCNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM | CNCRNM | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | 40:STS | BSG - BPSUPPCATG | Supplier category | BSG0 : BSGCOD
BSG - BPSUPPCATG | Supplier category | BSG0 : BSGCOD | BSGCOD | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
CPY - COMPANY | Company | CPY0 : CPY | CPY | BPE - BPEXCEPT | BP-Company exception | BPE0 : BPRNUM + CPY
CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM | BPATYP + BPRNUM + BPADD | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD
CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM | BPCNUM | BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM
CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM | BPRNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD | BPATYP + BPRNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD | BPATYP + BPRNUM + CNCRNM | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM
REP - SALESREP | Sales rep | REP0 : REPNUM | REPNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACC0.COD + COA | ACC0.COD | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
FCT - FACTOR | Factors | FCT0 : FCTCOD | FCTCOD | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
FCT - FACTOR | Factors | FCT0 : FCTCOD | CUR | TCU - TABCUR | Currency table | TCU0 : CUR
TCU - TABCUR | Currency table | TCU0 : CUR | CUR | FCT - FACTOR | Factors | FCT0 : FCTCOD
TCU - TABCUR | Currency table | TCU0 : CUR | CRY | TCY - TABCOUNTRY | Country table | TCY0 : CRY
TCY - TABCOUNTRY | Country table | TCY0 : CRY | CRY | TCU - TABCUR | Currency table | TCU0 : CUR
BID - BID | Bank ID statement | BID0 : BPATYP + BPRNUM + BPADD | BPATYP + BPRNUM + BPADD | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD
BID - BID | Bank ID statement | BID0 : BPATYP + BPRNUM + BPADD | BPRNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPT - BPCARRIER | Carriers | BPT0 : BPTNUM | BPTNUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD
BPT - BPCARRIER | Carriers | BPT0 : BPTNUM | BPRNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
CAP - CARPRICE | Carrier price lists | CAP0 : BPTNUM + BPTATE + RANG | BPTNUM | BPT - BPCARRIER | Carriers | BPT0 : BPTNUM
MVS - BPSUPPVT | Supplier transactions | MVS0 : BPSKNR + CPY + BPSNUM + CUR | BPSNUM + CUR | FCT - FACTOR | Factors | FCT0 : FCTCOD
MVS - BPSUPPVT | Supplier transactions | MVS0 : BPSKNR + CPY + BPSNUM + CUR | BPSNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
FCY - FACILITY | Sites | FCY0 : FCY | FINRSFCY | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
FCY - FACILITY | Sites | FCY0 : FCY | FCY | MVC - BPSCUSTM | Customer transactions | MVC0 : BPCKNR + FCY + BPCNUM
MVC - BPSCUSTM | Customer transactions | MVC0 : BPCKNR + FCY + BPCNUM | BPCNUM | BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM
MVC - BPSCUSTM | Customer transactions | MVC0 : BPCKNR + FCY + BPCNUM | FCY | FCY - FACILITY | Sites | FCY0 : FCY
BPG - BPGRPCUST | Customer category | BPG0 : BPGCOD | BPGCOD | BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM
BPV - BPARTNERV | Ship-to-customer | BPV0 : BPCNUM + BPVADD | BPCNUM | BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM
BPV - BPARTNERV | Ship-to-customer | BPV0 : BPCNUM + BPVADD | BPVADD | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD | BPATYP + BPRNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD | BPATYP + BPRNUM + CNCRNM | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD | BPVADD | BPV - BPARTNERV | Ship-to-customer | BPV0 : BPCNUM + BPVADD
BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPRNUM + BPADD | BPRNUM | BPT - BPCARRIER | Carriers | BPT0 : BPTNUM
BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM | BPCNUM | BPV - BPARTNERV | Ship-to-customer | BPV0 : BPCNUM + BPVADD
BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM | CNCRNM | CNT - CONTACT | Contacts | CNT0 : BPATYP + BPRNUM + CNCRNM
BPC - BPCUSTOMER | Customers | BPC0 : BPCNUM | BPGCOD | BPG - BPGRPCUST | Customer category | BPG0 : BPGCOD
PRV - HNPRV | Service suppliers | PRV0 : PRVNUM | PRVNUM | BPR - BPARTNER | Business partner | BPR0 : BPRNUM

# COMMON DATA 4 - COMMON TABLE

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
TLA - TABLAN | Language table | TLA0 : LNN | LAN | TCY - TABCOUNTRY | Country table | TCY0 : GRY
TCY - TABCOUNTRY | Country table | TCY0 : GRY | POS_COD | POS - POSCOD | Postal codes | POS0 : POSCRY + POSCTY + POSCOD
TCY - TABCOUNTRY | Country table | TCY0 : GRY | 9,ACCCOD_P | CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACCCOD + COA
POS - POSCOD | Postal codes | POS0 : POSCRY + POSCTY + POSCOD | CRY | TCY - TABCOUNTRY | Country table | TCY0 : GRY
TCU - TABCUR | Currency table | TCU0 : CUR | CUR | TCH - TABCHNGE | Currency rate table | TCH0 : CHGTPY + CHGPEN + CHGSTDAT
TCU - TABCUR | Currency table | TCU0 : CUR | CURDES | TCH - TABCHNGE | Currency rate table | TCH0 : CHGTPY + CHGPEN + CHGSTDAT
TCH - TABCHNGE | Currency rate table | TCH0 : CHGTPY + CHGPEN + CHGSTDAT | CURPEN | TCU - TABCUR | Currency table | TCU0 : CUR
TCH - TABCHNGE | Currency rate table | TCH0 : CHGTPY + CHGPEN + CHGSTDAT | CURDES | TCU - TABCUR | Currency table | TCU0 : CUR
CCE - CACCE | Dimensions | CCE0 : DIE + CCE | i+1,CCE0(i) | CCE - CACCE | Dimensions | CCE0 : DIE + CCE
TFO - TABFOR | Formula table | TFO0 : FORPTY + FORCOD | i+1,CCE0(i) | CCE - CACCE | Dimensions | CCE0 : DIE + CCE
TFO - TABFOR | Formula table | TFO0 : FORPTY + FORCOD | VAT | TVT - TABVAT | Tax code table | TVT0 : VAT + LEG
TVT - TABVAT | Tax code table | TVT0 : VAT + LEG | VATVAC | TVC - TABVAC | Tax determination table | TVC0 : CDD + LEG
TVT - TABVAT | Tax code table | TVT0 : VAT + LEG | VATDIV | ADI - ATABDIV | Miscellaneous tables | CODE : NUMTAB + CODE
TVT - TABVAT | Tax code table | TVT0 : VAT + LEG | 10,ACCCOD | CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACCCOD + COA
TVC - TABVAC | Tax determination table | TVC0 : CDD + LEG | VAT | ADI - ATABDIV | Miscellaneous tables | CODE : NUMTAB + CODE
TVC - TABVAC | Tax determination table | TVC0 : CDD + LEG | VATCSP | ADI - ATABDIV | Miscellaneous tables | CODE : NUMTAB + CODE
ADI - ATABDIV | Miscellaneous tables | CODE : NUMTAB + CODE | VATDIV | TVT - TABVAT | Tax code table | TVT0 : VAT + LEG
ADI - ATABDIV | Miscellaneous tables | CODE : NUMTAB + CODE | VATCSP | TVC - TABVAC | Tax determination table | TVC0 : CDD + LEG
GAC - GACCOUNT | Accounts | GAC0 : COA + ACC | COA/ACC | CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACCCOD + COA
CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACCCOD + COA | ACCCOD | GAC - GACCOUNT | Accounts | GAC0 : COA + ACC
CAC - GACCCODE | Accounting codes | CAC0 : TYP + ACCCOD + COA | ACCCOD | TVT - TABVAT | Tax code table | TVT0 : VAT + LEG
The dynamic links present in the diagram have been addressed with additional relation fields, such as VATDIV and VATCSP, which indicate that the link between the tables is based on these fields, even though they are not primary keys. Also, the relationship between CUR and CURDES in TCU - TABCUR and TCH - TABCHNGE indicates the destination currency field.

# SALES 1 - QUOTATION

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
TCU - TABCUR | Currency table | TCU0: CUR | CUR | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TCU - TABCUR | Currency table | TCU0: CUR | CUR | BP - BPPARTNER | Business partner | BPR0: BPRNUM
TCU - TABCUR | Currency table | TCU0: CUR | CUR | SVF - SVCROOT | Sales document footer | SVF0: VCRNUM + VCRTPY + DTA
BPR - BPPARTNER | Business partner | BPR0: BPRNUM | BPRNUM | BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD
BPR - BPPARTNER | Business partner | BPR0: BPRNUM | BPRNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
BPR - BPPARTNER | Business partner | BPR0: BPRNUM | BPRNUM | SQH - SQUOTE | Quote header | SQH0: SQHNUM
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCORD | BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | SQH - SQUOTE | Quote header | SQH0: SQHNUM
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | ITU - ITMBCP | Customer product | ITU0: ITMREF + BPCNUM
SVF - SVCROOT | Sales document footer | SVF0: VCRNUM + VCRTPY + DTA | VCRNUM | SVW - SVCVRAT | Sales document vario - tax | SVW0: VCRNUM + VAT
PRS - PRICSTRUCT | Price structure (cust/supp) | PRS0: PRSNUM | PRSNUM | BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD
SVW - SVCVRAT | Sales document vario - tax | SVW0: VCRNUM + VAT | None | None | None | None
BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD | BPCNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD | BPRADD | None | None | None
SQH - SQUOTE | Quote header | SQH0: SQHNUM | SQHNUM | SQD - SQUOTED | Quote detail | SQD0: SQHNUM + SQLIN
SQH - SQUOTE | Quote header | SQH0: SQHNUM | SQHNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
SQH - SQUOTE | Quote header | SQH0: SQHNUM | SQHNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
SQD - SQUOTED | Quote detail | SQD0: SQHNUM + SQLIN | SQHNUM | SQH - SQUOTE | Quote header | SQH0: SQHNUM
SQD - SQUOTED | Quote detail | SQD0: SQHNUM + SQLIN | None | None | None | None
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SQH - SQUOTE | Quote header | SQH0: SQHNUM
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
ADI - ATABDIV | Miscellaneous tables | ADI0: NUMTAB + CODE | NUMTAB + CODE | CPY - COMPANY | Company | CPY0: CPY
ADI - ATABDIV | Miscellaneous tables | ADI0: NUMTAB + CODE | NUMTAB | TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | TDA - TABDEPAGIO | Early discount/late charge table | TDA0: DEP + LEG
BPR - BPPARTNER | Business partner | BPR0: BPRNUM | BPRNUM | PRS - PRICSTRUCT | Price structure (cust/supp) | PRS0: PRSNUM
BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD | BPCNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
BPF - BPCARRIER | Carriers | BPF0: BPTNUM | BPTNUM | TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN
CCE - CACCAGE | Dimensions | CCE0: DIE + CCE | DIE | DIE - GIEDIM | Dimension types | DIE0: DIE
CPY - COMPANY | Company | CPY0: CPY | CPY | FCY - FACILITY | Sites | FCY0: FCY
CPY - COMPANY | Company | CPY0: CPY | CPY | ITU - ITMBCP | Customer product | ITU0: ITMREF + BPCNUM
CPY - COMPANY | Company | CPY0: CPY | CPY | REP - SALESP | Sales rep | REP0: REPNUM
DIE - GIEDIM | Dimension types | DIE0: DIE | DIE | CCE - CACCAGE | Dimensions | CCE0: DIE + CCE
FCY - FACILITY | Sites | FCY0: FCY | FCY | REP - SALESP | Sales rep | REP0: REPNUM
PRD - PRODSTU | Products structure | PRD0: ITMREF | ITMREF | ITM - ITMMASTER | Products | ITM0: ITMREF
REP - SALESP | Sales rep | REP0: REPNUM | REPNUM | SOP - SORDERP | Sales orders - prices | SOP0: SONNUM
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SOQ - SORDERQ | Sales orders - quantities | SOQ0: SONNUM + SQLIN
