    Table  	Table Abbreviation	Key	Description	Duplicates
ACHANGE  	ACG	ACG0	COD+LIG	No
ACLACOL  	ACLAC	ACLAC0	CODCLA+CODCOL	No
ACLAFLD  	ACLAF	ACLAF0	CODCLA+FLDCLA	No
ACLAFLD  	ACLAF	ACLAF1	CODCLA+NUMLIG+FLDCLA	No
ACLAFLD  	ACLAF	ACLAF2	CODCLA+NUMFLD+NUMLIG+FLDCLA	No
ACLALNK  	ACLAK	ACLAK0	CODCLA+REFLNK	No
ACLALNK  	ACLAK	ACLAK1	CODCLA+NUMLIG+REFLNK	No
ACLAMAP  	ACLAKP	ACLAKP0	CODCLA+REFLNK+KEYMAP	No
ACLAMET  	ACLAM	ACLAM0	CODCLA+CODMET	No
ACLAMET  	ACLAM	ACLAM1	CODCLA+NOMET+CODMET	No
ACLAMETSTD  	ACLAT	ACLAT0	CODCLA+CODMETSTD	No
ACLAMETSTD  	ACLAT	ACLAT1	CODCLA+NOMETSTD+CODMETSTD	No
ACLAOPT  	ACLAO	ACLAO0	CODCLA+OPTCOD	No
ACLAPARDEF  	ACLPD	ACLPD0	CODCLA+CODE+CODPAR	No
ACLAPARDEF  	ACLPD	ACLPD1	CODCLA+CODE+NOPAR+CODPAR	Yes
ACLAPARFLD  	ACLFP	ACLFP0	CODCLA+TYPPAR+TYPKEY+FLDCLA+CODPAR	No
ACLAPARFLD  	ACLFP	ACLFP1	CODCLA+TYPPAR+TYPKEY+FLDCLA+NUMPAR	Yes
ACLASSE  	ACLA	ACLA0	CODCLA	No
ACLBSYS  	ASA	ASA0	CAT+CODFIC	No
ACLOB  	ACB	ACB0	CODBLB+IDENT1+IDENT2+IDENT3	No
ACODIF  	ACO	ACO0	ABB	No
ACODIF  	ACO	ACO1	ENGDES	Yes
ACODIF  	ACO	ACO2	FREDES	Yes
ACODNUM  	ANM	ANM0	CODNUM	No
ACONSTANT  	ACST	ACST0	CODVAR	No
ACONSTANT  	ACST	ACST1	CATEG+CODVAR	No
ACONSULT  	ACN	ACN0	COD	No
ACONTEXT  	ACTX	ACTX0	CODCTX	No
ACONTEXT  	ACTX	ACTX1	CHAPTER+RANG+CODCTX	No
ACONTEXT  	ACTX	ACTX2	PARAM+CODCTX	No
ACTCODPAR  	AAR	CODPAR	CODPAR	No
ACTION  	ACT	ACTION	ACTION	No
ACTIV  	ACV	CODACT	CODACT	No
ACTIV  	ACV	ACV1	MODULE+CODACT	No
ACTIV  	ACV	ACV2	ORDRE+CODACT	No
ACTL  	ACL	ACL0	CTL	No
ACTLDEV  	ACD	ACD0	COD	No
ACTLSPE  	ASPE	ASPE0	UPDSEQ	No
ACTLSPELINE  	ASPEL	ASPEL0	UPDSEQ+LINSEQ	No
ACTPAR  	ATR	NOPAR	ACTION+NOPAR	No
ACTPAR  	ATR	CODPAR	CODPAR	Yes
ADELETE  	ADL	ADL0	NUM	No
ADELETE  	ADL	ADL1	OBJ+CLE1+CLE2	No
ADELIVER  	ADLV	ADLV0	COD	No
ADELIVERB  	ADLB	ADLB0	COD+CODFNC+CODBDG	No
ADELIVERB  	ADLB	ADLB1	COD+CODBDG+CODFNC	No
ADELIVERD  	ADLD	ADLD0	COD+CODACT	No
ADELIVERL  	ADLL	ADLL0	COD+FNCLIM	No
ADELIVERO  	ADLO	ADLO0	COD+TABCOD+TABKEY	No
ADELIVERO  	ADLO	ADLO1	COD+TABCOD+TABAWM	Yes
ADELIVERP  	ADLP	ADLP0	COD+PARAM+CLEPARAM	No
ADELIVERR  	ADLR	ADLR0	COD+CODASW+CODBDG	No
ADELIVERT  	ADLT	ADLT0	COD+CODSES+CODDVC	No
ADICTRT  	ADC	ADC0	CODTRT	No
ADIMENSION  	ADM	ADM0	COD	No
ADIMENSION  	ADM	ADM1	ORDRE+COD	No
ADOCBLB  	ADB	ADB0	LAN+TYP+COD+LEV+SUBLEV+LIG	No
ADOCCLB  	ADH	ADH0	LAN+TYP+COD+LEV+SUBLEV	No
ADOCFLD  	ADZ	ADZ0	LAN+MOTCLE	No
ADOCFLD  	ADZ	ADZ1	MOTCLE+LAN	No
ADOCFNC  	ADF	ADF0	TYP+COD+NUM	No
ADOCUMENT  	ADO	ADO0	LAN+TYP+COD+LEV+SUBLEV	No
ADOCUMENT  	ADO	ADO1	LAN+TYP+COD+PAR	Yes
ADOCUMENT  	ADO	ADO2	COD+LEV+SUBLEV	Yes
ADOCUMENT  	ADO	ADO3	TYP+COD+LEV+SUBLEV	Yes
ADOPAR  	ADP	ADP0	CHAPITRE+PARAM	No
ADOPAR  	ADP	ADP1	PARAM	No
ADOPAR  	ADP	ADP3	CHAPITRE+RANG+PARAM	No
ADOPAR  	ADP	ADP4	OBJET+PARAM	No
ADOPAR  	ADP	ADP5	CHAPITRE+GRPPAR+PARAM	No
ADOSACT  	ADA	ADA0	DOSSIER+CODACT	No
ADOSDIM  	ADE	ADE0	DOSSIER+DIMCOD	No
ADOSLEG  	ADLEG	ADLEG0	DOSSIER+LEG	No
ADOSLIV  	ADK	ADK0	DOSSIER+COD	No
ADOSSIER  	ADS	DOSSIER	DOSSIER	No
ADOSSOL  	ADD	ADD0	DOSSIER+NUMLIG	No
ADOVAL  	ADW	ADW0	CMP+FCY+PARAM	No
ADOVAL  	ADW	ADW1	PARAM+CMP+FCY	No
ADOVALAUS  	ADU	ADU0	CODUSR+PARAM	No
ADOVALAUS  	ADU	ADU1	PARAM+CODUSR	No
ADOVALGRP  	ADG	ADG0	CHAPITRE+GRPPAR+GRPDEF+PARAM	No
ADOVALGRP  	ADG	ADG1	GRPDEF+CHAPITRE+GRPPAR+PARAM	No
ADOVALHIS  	AHW	AHW0	CMP+FCY+PARAM	No
ADOVALHIS  	AHW	AHW1	PARAM+CMP+FCY	No
AECLIDBG  	AEG	AEG0	NUMLIG	No
AECLIDBG  	AEG	AEG1	DOSSIER+LOGIN	Yes
AECLIRDV  	AEC	AEC0	NUMLIG	No
AECLIRDV  	AEC	AEC1	DOSSIER+LOGIN	Yes
AELT  	AEL	ELT0	ELTTYP+ELT+ELTLAN	No
AELT  	AEL	ELT1	ELTTYP+ELTINV+ELT+ELTLAN	No
AELTLINK  	AEK	ELK0	ELTTYP+ELT+ELTTYPLK+ELTLK	No
AELTLINK  	AEK	ELK1	ELTTYPLK+ELTLK+ELTTYP+ELT	No
AENCHAINE  	AEN	CODE	CODE+NUMLIG	No
AENTREE  	APE	APE0	TRTSTD+OBJ+TRTSPE	No
AENUMBDGH  	AENUMH	AENUMH0	AMENLOC	No
AENUMBDGH  	AENUMH	AENUMH1	AENUMNAM	No
AENUMBDGL  	AENUML	AENUML0	AMENLOC+LANNUM	No
AESPION  	AES	ESPDAT	ESPDAT+ESPTIM	Yes
AESPION  	AES	ESPUSR	ESPUSR+ESPDAT+ESPTIM	Yes
AEXPV3  	AEV	AEV0	CODE	No
AEXPV3D  	AED	AED0	CODE+LIG	No
AFCTCUR  	AFU	AFU0	UID+FCT	No
AFCTEXE  	AFE	AFE0	USR+LIG	No
AFCTFCT  	AFT	AFT0	PRFCOD	No
AFCTFCY  	AFF	AFF0	FCY+PRFCOD+FNC	No
AFCTFCY  	AFF	AFF1	PRFCOD+FNC	Yes
AFCTPRF  	AFP	AFP0	PRFCOD+FNC+FCYGRU	No
AFONCTION  	AFC	CODINT	CODINT	No
AFONCTION  	AFC	CODEXT	CODEXT	No
AFONCTION  	AFC	MENU	MENU+RANG+CODINT	No
AFONCTION  	AFC	NUMFNC	NUMFNC	Yes
AFONCTION  	AFC	MODULE	MODULE+MENU+CODINT	No
AFORDIM  	AFO	AFO0	CODFIC	No
AGDPRMAI  	AGMAI	AGMAI0	NUMREQ	No
AGDPRMAI  	AGMAI	AGMAI1	MAICOD+TABCOD+TABFLD	No
AGDPRPHONE  	AGPHO	AGPHO0	NUMREQ	No
AGDPRPHONE  	AGPHO	AGPHO1	TELCOD+TABCOD+TABFLD	No
AGDPRSETTING  	AGS	AGS0	CODE	No
AGDPRSETTING  	AGS	AGS1	TYP+CODE	No
AGDPRSETTING  	AGS	AGS2	TYP+CODATY+CODATB+CODE	No
AGDPRVCR  	AGVCR	AGVCR0	UID+CODATY+CODFIC+CODE+VCRKEY	No
AGDPRVCR  	AGVCR	AGVCR1	UID+VCRKEY	Yes
AGLOBVAR  	AGB	AGB0	CODVAR	No
AGLOBVAR  	AGB	AGB1	TRTSTD+RANG+CODVAR	No
AGLOBVAR  	AGB	AGB2	PARAM+CODVAR	No
AGRPCPY  	AGC	AGC0	GRP+CPY	No
AGRPCPY  	AGC	AGC1	CPY+GRP	No
AGRPFCY  	AGF	AGF0	GRP	No
AHISTO  	AHI	AHI0	COD	No
AHISTOD  	AHD	AHD0	COD+LIG	No
AINDEX  	ANX	ANX0	LIG	No
AINDEX  	ANX	ANX1	TABLE+LIG	No
AINDEX  	ANX	ANX2	TABLE+CODIND	No
AIOBENCH  	AIOBE	AIOBE0	RUNID	No
AITRLNK  	AIT	AIT0	CODLNK	No
ALINK  	ALI	ALI0	USRCOD+SRCOBJ+SRCKEY+DSTOBJ+DSTKEY	No
ALISTEC  	ALC	ALC0	COD	No
ALISTED  	ALD	ALD0	COD+LIG	No
ALISTED  	ALD	ALD1	COD+ORD	Yes
ALISTEH  	ALH	ALH0	COD	No
ALISTEL  	ALL	ALL0	COD+LNKORG+LNKDES	No
ALISTER  	ALR	ALR0	COD+USR+NIV+LIG+COL	No
ALISTET  	ALT	ALT0	COD+TBL	No
ALNKSUB  	ALB	ALB0	CRY+TYP+POS	No
ALNKSUB  	ALB	ALB1	COD+CRY+TYP	Yes
ALOGIN  	ALO	ALO0	BDDID+FLG	Yes
ALOGIN  	ALO	ALO1	SEQ	No
ALOGIN  	ALO	ALO2	ADOID+FLG	Yes
ALSTRD  	ALS	ALS0	USR+OBJ+LIG	No
AMAINT  	AMI	AMI0	COD	No
AMEMO  	AMM	AMM0	MEMO	No
AMENLOC  	AML	MENLOC	MENLOC	No
AMENUSER  	AMU	CODMEN	CODPRF+NUMLIG	No
AMENUSER  	AMU	MENCOD	CODPRF+MENU+NUMLIG	No
AMENUSER  	AMU	MENFCT	CODPRF+FONCTION	Yes
AMETUTI  	AME	AME0	CODMET	No
AMIGKEY  	AMY	AMY0	DOSSIER+IDENT	No
AMOTCLE  	AMC	AMC0	TYPZON+IDENT1+IDENT2	No
AMOTCLE  	AMC	AMC1	IDENT1+IDENT2	Yes
AMOULIN  	AI0	AI01	CODE	No
AMOULIN  	AI0	AI02	INDICEM	No
AMOULIN1  	AI1	AI11	PLAN	No
AMOULIN2  	AI2	AI21	PLAN+CODE	No
AMSK  	AMK	CODMSK	CODMSK	No
AMSK  	AMK	ABRMSK	ABRMSK	Yes
AMSKACT  	AMA	TYPAFF	TYPAFF+CODAFF+CODZON+TYPACT+NOACT	No
AMSKACT  	AMA	NOACT	CODAFF+CODZON+TYPACT+NOACT+TYPAFF	No
AMSKPAR  	AMP	CODPAR	TYPAFF+CODAFF+CODZON+CODPAR	No
AMSKPAR  	AMP	CODAFF	CODAFF+CODZON	Yes
AMSKZON  	AMZ	CODE	CODMSK+CODZON	No
AMSKZON  	AMZ	CODZON	CODMSK+NUMBLOC+NOZONE+CODZON	No
AMSKZON  	AMZ	CODTYP	CODTYP+CODMSK+CODZON	No
AMSKZON  	AMZ	DICO	CODZON+CODMSK	No
ANAVCRE  	ANI	ANI0	COD+LIG	No
ANAVCRE  	ANI	ANI1	FNC+OBJ+LIG	No
ANAVFIL  	ANH	ANH0	COD+LIG	No
ANAVFIL  	ANH	ANH1	FNC+OBJ+LIG	No
ANAVIG  	ANG	ANG0	COD	No
ANAVIG  	ANG	ANG1	FNC+OBJ	No
ANNUAIRE  	ANU	ANU0	COD	No
ANODCPS  	ANODCP	ANODCP0	ANODE+APROPNAM	No
ANODCPT  	ANODCT	ANODCT0	ANODE+APROPNAM	No
ANODE  	ANODE	ANODE0	ANODE	No
ANODEBDG  	ANODEB	ANODEB0	AREFBIND	No
ANODEBDG  	ANODEB	ANODEB1	ANODE+AREFBIND	No
ANODEBDG  	ANODEB	ANODEB2	ABDGTYP+AX3KEY1+ANODE	No
ANODGVAR  	ANGV	ANGV0	CODFIC+CODZONE+CODVAR	No
ANODPBDG  	ANODPB	ANODPB0	AREFBIND+ANODE+APROPNAM	No
ANODPROP  	ANODP	ANODP0	ANODE+APROPNAM	No
ANODREF  	ANODRF	ANODRF0	ANODE+KINDREF	No
AOBJBUR  	AOA	AOA0	ABREV+IDENT1+IDENT2+IDENT3	No
AOBJBURMOD  	AON	AON0	ABREV+TRN+CPY+MODELE	No
AOBJET  	AOB	ABREV	ABREV	No
AOBJET  	AOB	NOMFIC	NOMFIC+ABREV	No
AOBJEXT  	AOE	AOE0	EXT	No
AOBJEXT  	AOE	AOE1	OBJ+EXT	No
AOBJEXTD  	AOD	AOD0	EXT+NUMLIG	No
AOBJEXTMP  	AOW	AOW0	NUMLOT	No
AOBJEXTMP  	AOW	AOW1	EXT+NUMLOT	Yes
AOBJEXTMPB  	AOZ	AOZ0	NUMLOT+NUMLIG	No
AOBJEXTMPB  	AOZ	AOZ2	NUMLOT-NUMLIG	No
AOBJEXTMPC  	AOY	AOY0	NUMLOT+NUMLIG	No
AOBJEXTMPC  	AOY	AOY2	NUMLOT-NUMLIG	No
AOBJEXTMPD  	AOV	AOV0	NUMLOT+NUMLIG+FLDNUM	No
AOBJEXTMPD  	AOV	AOV1	NUMLOT+NUMLIG	Yes
AOBJEXTMPD  	AOV	AOV2	NUMLOT-NUMLIG+FLDNUM	No
AOBJEXTMPD  	AOV	AOV3	NUMLOT-NUMLIG+AOVFIL+AOVFLD+FLDNUM	No
AOBJEXTMPE  	AOU	AOU0	NUMLOT+NUMLIG+FLDNUM	No
AOBJEXTMPE  	AOU	AOU2	NUMLOT-NUMLIG+FLDNUM	No
AOBJEXTR  	AOR	AOR0	NUMTAB+NUMLIG	No
AOBJEXTR  	AOR	AOR1	NUMTAB+CODEXT+NUMLIG	No
AOBJEXTR  	AOR	AOR2	NUMTAB+CODLOC+NUMLIG	No
AOBJLNK  	AOK	AOK0	SRCOBJ+LIN	No
AOBJLST  	AOL	AOL0	ABREV	No
AOBJPROP  	AOP	AOP0	OBJ+NUM	No
AOBJSEL  	AOS	AOS0	CODE+MEMO+ALL+USR	No
AOBJSEL  	AOS	AOS1	CODE+NUMORD+ALL	No
AOBJTAB  	AOT	ABREV	ABREV+NUMLIG	No
AOBJTAB  	AOT	TABFIC	ABREV+TABFIC+TABABR	No
AOBJTXT  	AOX	AOX0	ABREV+IDENT1+IDENT2+IDENT3	No
AOBJTXTA  	AOM	AOM0	ABREV+IDENT1+IDENT2+IDENT3+MOTCLE	No
AOBJTXTA  	AOM	AOM1	MOTCLE+ABREV+IDENT1+IDENT2+IDENT3	No
APACKACV  	APACACV	APACACV0	APACKCOD+CODACT	No
APACKAGE  	APACK	APACK0	APACKCOD	No
APACKAGE  	APACK	APACK1	APACK	No
APARIMPEXP  	APX	APX0	COD	No
APATCH  	APT	APT0	NUM	No
APATCH  	APT	APT1	FIC	Yes
APATCH  	APT	APT2	TYP+FICRELABR+NUMP	Yes
APATCHLOG  	APL	APT0	AFOLDER+AUPDATE+IDENT	No
APATCHLOGD  	APLD	APLD0	AFOLDER+AUPDATE+IDENT+TYP+LINE	No
APATCHMOD  	APH	APH0	MODPAT+NUMLIG	No
APATCHTMP  	APATMP	APATMP0	NUMREQ+FICNAM+FOLD	No
APIOPE  	APIOPE	APIOPE0	APIOPE	No
APIOPE  	APIOPE	APIOPE1	APIREF+ANODOP	No
APLCOM  	ACM	COMCLE	COMNOM+COMIND	No
APLCOMH  	ACMH	ACMH0	COMNOM	No
APLLCK  	ALK	LCKCLE	LCKSYM+LCKIND	No
APLLCK  	ALK	PIDFLG	LCKPID+LCKFLG	Yes
APLSTD  	AST	CLE	LANCHP+LANNUM+LAN	No
APLSTD  	AST	LAN	LAN+LANCHP+LANNUM	No
APOOLBRG  	APB	APB1	POOLALIAS	No
APOOLWS  	APW	APW1	CLE	No
APOOLWS  	APW	APW2	SOLUTION+DOSSIER+SWEBALIAS+POOLALIAS	No
APORTMOD  	AMO	AMO0	CODUSR+CODTAB+CODMOD	No
APORTMOD  	AMO	AMO1	VIGNETTE+CODUSR	Yes
APORTTAB  	APA	APA0	CODUSR+CODTAB	Yes
APORTTYP  	ATP	ATP0	CODFA	No
APORTUSER  	APU	APU0	CODUSR	No
APORTVIG  	AVP	AVP0	CODVI	No
APORTVIG  	AVP	AVP1	MENUR+RANGR+CODVI	No
APRINTDES  	AID	AID0	COD+NUM	No
APRINTER  	AIM	AIM0	COD	No
APROCESSUS  	APR	01-avr	CODLEG+CODPRO	No
APROCESSUS  	APR	avr-00	CODPRO	Yes
APROCESSUS  	APR	02-avr	CODPRO+CODLEG	No
APROCTEXTE  	AXP	AXP0	CODPRO+CODLEG+LANG+UNIQIDP	No
APROCTEXTE  	AXP	AXP1	LANG+CODPRO+CODLEG+UNIQIDP	No
APROFIL  	APF	CODPRF	MODULE+CODPRF	No
APROFIL  	APF	APF1	CODPRF+MODULE	No
APROMEN  	APO	APO1	LEG+CODMEN	No
APROMEN  	APO	APO0	CODMEN	Yes
APROMEN  	APO	APO2	CODMEN+LEG	No
APRTAUS  	AIA	AIA0	USR+RPTCOD+CMP	No
APRTBRW  	AP2	AP20	AP2BRW	No
APTLPAGE  	APS	APS0	APSPAG	No
APTLPAR  	APP	APP0	APPTYP+APPCOD	No
APTLVW  	APV	APV0	APVCOD	No
ARCHPAR  	ARC	ARC0	CODARC	No
ARCHPARE  	ARE	ARE0	TYPDOC+IDTVOL+NUMLIG	No
ARCHPARU  	ARU	ARU0	ARCPRF	No
ARCHPARW  	ARW	ARW0	CODARC+CODPAR	No
AREFAML  	ARN	ARN0	NOLIB+NUM	No
AREFTXT  	ART	ART0	TXTNUM+NUM	No
AREFTXT  	ART	ART1	TXTNUM+CODFIC+CODZONE+CLES	No
AREFTXT  	ART	ART2	CODFIC+CODZONE+CLES+TXTNUM	No
AREPORT  	ARP	ARP0	RPTCOD	No
AREPORT  	ARP	ARP1	GRP+RPTCOD	No
AREPORTA  	ARA	ARA0	PATNAM-TIMSTP+TYP+SEQ	No
AREPORTA  	ARA	ARA1	PATNAM-VER	Yes
AREPORTA  	ARA	ARA2	PATNAM+VER+TYP+SEQ	No
AREPORTD  	ARD	ARD0	RPTCOD+PARNUM	No
AREPORTD  	ARD	ARD1	PARCOD+RPTCOD	No
AREPORTG  	ARG	ARG0	CODPAR+NUM+LIG	No
AREPORTM  	ARM	ARM0	NUMREQ+USR+RPTCOD+NUMLIG	No
AREPORTM  	ARM	ARM1	USR+RPTCOD	Yes
AREPORTM  	ARM	ARM2	NUMREQ+USR+SEQREQ+RPTCOD+NUMLIG	No
AREPORTS  	ARO	ARO0	RPTCOD	No
AREPORTV  	ARV	ARV0	FONCTION+TYPCOD+ETAT+PARAM	No
AREPORTV  	ARV	ARV1	TYPCOD+ETAT+PARAM+FONCTION	No
AREPORTX  	ARX	ARX0	INTCOD+TYPCOD+EXTCOD+LAN	Yes
AREPORTZ  	ARZ	ARZ0	CODPAR	No
AROLE  	ARL	ARL0	OBJ+ROL	No
AROLE  	ARL	ARL1	ROL+OBJ	No
ASHW  	ASW	ASW0	CODREP	No
ASHWBLC  	ASWB	ASWB0	CODREP+CODBLC	No
ASHWBLC  	ASWB	ASWB1	CODREP+NIVBLC+CODBLC	No
ASHWCOL  	ASWC	ASWC0	CODREP+CODCOL	No
ASHWEXPPRO  	ASWR	ASWR0	CODREP+ALIAS	No
ASHWEXPPRO  	ASWR	ASWR1	CODREP+NUMPRO+CODPRO	Yes
ASHWEXPPRO  	ASWR	ASWR2	CODREP+ORDPRO+NUMPRO+CODPRO	Yes
ASHWEXPPRO  	ASWR	ASWR3	CODREP+CODPRO	Yes
ASHWFLD  	ASWF	ASWF0	CODREP+CODFLD	No
ASHWFLD  	ASWF	ASWF1	CODREP+NUMFLD+CODFLD	No
ASHWFLD  	ASWF	ASWF2	CODREP+NUMFLD+NUMLIG+CODFLD	No
ASHWLNK  	ASWK	ASWK0	CODREP+AFFLNK+ANCLNK+CODLNK	No
ASHWLNK  	ASWK	ASWK1	CODREP+ANCLNK+ORDTECLNK+AFFLNK+MENLNK+CODLNK	Yes
ASHWMENU  	ASWMN	ASWMN0	CODREP+CODMENU	No
ASHWMENU  	ASWMN	ASWMN1	CODREP+PARMENU+ORDMENU+CODMENU	No
ASHWMET  	ASWM	ASWM0	CODREP+CODMET	No
ASHWMET  	ASWM	ASWM1	CODREP+NOMET+CODMET	No
ASHWOPT  	ASWO	ASWO0	CODREP+OPTCOD	No
ASHWPAR  	ASWP	ASWP0	CODREP+TYPPAR+TYPKEY+CODFLD+CODLNK+AFFLNK+CODPAR	No
ASHWPAR  	ASWP	ASWP1	CODREP+TYPPAR+CODFLD+CODLNK+AFFLNK+NUMPAR+TYPKEY+CODPAR	Yes
ASHWPARMET  	ASWMP	ASWMP0	CODREP+CODMET+CODPARMET	No
ASHWPARMET  	ASWMP	ASWMP1	CODREP+CODMET+NOPARMET+CODPARMET	Yes
ASHWSEC  	ASWS	ASWS0	CODREP+CODSEC	No
ASHWSEC  	ASWS	ASWS1	CODREP+NIVSEC+CODSEC	No
ASTYLE  	ASY	ASY0	COD	No
ASTYLEC  	ASL	ASL0	COD+LIG	No
ASTYLEP  	AYP	AYP0	CAT+LIG	No
ASTYLEP  	AYP	AYP1	CAT+COD	No
ASUBPROG  	ASU	ASU0	PRG+SUBPRG	No
ASUBPROGD  	ASP	ASP0	PRG+SUBPRG+LIGNE	No
ASUBPROGD  	ASP	ASP1	PRG+SUBPRG+PARAM	No
ASYSSMDBASSO  	ASM3	DBIDENT1	DBIDENT1+DBIDENT3	No
ASYSSMDBASSO  	ASM3	SESSIONID	SESSIONID	No
ASYSSMEXTERN  	ASM1	PROCESSID	PROCESSID	No
ASYSSMEXTERN  	ASM1	SESSIONID	SESSIONID	Yes
ASYSSMINTERN  	ASM0	SESSIONID	SESSIONID	No
ASYSSMINTERN  	ASM0	FOLDER	FOLD	Yes
ASYSSMPROCES  	ASM2	PSESSIONID	PROCESSID+SESSIONID	No
ASYSSMPROCES  	ASM2	SESSIONID	SESSIONID	Yes
ATABAUD  	ATA	ATA0	CODFIC+NUMLIG	No
ATABDIV  	ADI	CODE	NUMTAB+CODE	No
ATABIND  	ATI	CODIND	CODFIC+CODIND	No
ATABIND  	ATI	NUMLIG	CODFIC+NUMLIG+CODIND	No
ATABLE  	ATB	CODFIC	CODFIC	No
ATABLE  	ATB	ABRFIC	ABRFIC	No
ATABTAB  	ADV	CODE	NUMTAB	No
ATABZON  	ATZ	NUMLIG	CODFIC+NUMLIG+CODZONE	No
ATABZON  	ATZ	CODZONE	CODFIC+CODZONE	No
ATABZON  	ATZ	CODTYP	CODTYP+CODFIC+CODZONE	No
ATABZON  	ATZ	LIEN	LIEN+CODFIC+CODZONE	No
ATABZON  	ATZ	DICO	CODZONE	Yes
ATEXMOD  	ATM	ATM0	MODULE	No
ATEXTE  	ATX	NUMERO	LAN+NUMERO	No
ATEXTE  	ATX	TEXTE	LAN+TEXTE	Yes
ATEXTE  	ATX	CLEREC	LAN+CLEREC	Yes
ATEXTE  	ATX	DERNUM	NUMERO+LAN	No
ATEXTEXCEP  	AEX	AEX0	VERORI+LAN+NUMERO	No
ATEXTEXCEP  	AEX	AEX1	VERORI+NAMREP+SUBREP+SECREP+OBJREP+LAN	No
ATEXTRA  	AXX	AXX0	CODFIC+ZONE+LANGUE+IDENT1+IDENT2	No
ATEXTRA  	AXX	AXX1	LANGUE+CODFIC+ZONE	Yes
ATMPTRA  	ATT	ATT0	NUMREQ+LIG	No
ATRADIS  	TAT	ATS0	NUMERO	No
ATRADIS  	TAT	ATS1	LANGUE+EXTDAT	Yes
ATRADIS  	TAT	ATS2	LANGUE+INTDAT	Yes
ATRADIS  	TAT	ATS3	LANGUE+NUMERO	No
ATRANSAC  	ATN	ATN0	COD	No
ATRANSAC  	ATN	ATN1	OBJGES	Yes
ATYPE  	ATY	CODTYP	CODTYP	No
ATYPE  	ATY	GLOBVAR	TYPTYP+CODTYP	No
ATYPELNK  	ATYL	ATYL0	CODTYP+CODLNK	No
