Table	Table Abbreviation	 Description
ANAVCRE	ANI	 La navigation
ANAVFIL	ANH	 La navigation
ANAVIG	ANG	 La navigation
ANNUAIRE	ANU	 Annuaire des utilisateurs
ANODCPS	ANODCP	 Références composites
ANODCPT	ANODCT	 Propriétés calculées
ANODE	ANODE	 Nœud (API)
ANODEBDG	ANODEB	 Liaison de nœud
ANODGVAR	ANGV	 Variable globale pour l'API
ANODPBDG	ANODPB	 Propriétés de liaison de nœud
ANODPROP	ANODP	 Propriétés du nœud
ANODREF	ANODRF	 Références de nœuds
AOBJBUR	AOA	 Documents de bureau
AOBJBURMOD	AON	 Documents par défaut
AOBJET	AOB	 Objets de base
AOBJEXT	AOE	 Modèles d'importation/exportation
AOBJEXTD	AOD	 Lignes d'import/export d'objet
AOBJEXTMP	AOW	 Importer/exporter un espace de stockage temporaire
AOBJEXTMPB	AOZ	 Importer/exporter un espace de stockage temporaire
AOBJEXTMPC	AOY	 Importer/exporter un espace de stockage temporaire
AOBJEXTMPD	AOV	 Importer/exporter un espace de stockage temporaire
AOBJEXTMPE	AOU	 Importer/exporter un espace de stockage temporaire
AOBJEXTR	AOR	 Transcrire l'import/export
AOBJLNK	AOK	 Explorateur de liens
AOBJLST	AOL	 Objets de base
AOBJPROP	AOP	 Propriétés de l'objet
AOBJSEL	AOS	 Sélectionnez le fichier mémo
AOBJTAB	AOT	 Tableau d'objets
AOBJTXT	AOX	 Pièces jointes
AOBJTXTA	AOM	 Tableau des mots clés
APACKACV	APACACV	 Code d'activité pour les packages
APACKAGE	APACK	 Nom du package (API)
APARIMPEXP	APX	 Paramètres d'import/export
APATCH	APT	 Suivi des correctifs
APATCHLOG	APL	 Suivi des correctifs
APATCHLOGD	APLD	 Suivi des correctifs
APATCHMOD	APH	 Modèles de configuration
APATCHTMP	APATMP	 Intégration des correctifs
APIOPE	APIOPE	 Fonctionnement (API)
APLCOM	ACM	 Définition du numéro de séquence
APLCOMH	ACMH	 Définition du numéro de séquence
APLLCK	ALK	 Table de verrouillage
APLSTD	AST	 Menus locaux
APOOLBRG	APB	 Pool de ponts Java
APOOLWS	APW	 Pool de services Web
APORTMOD	AMO	 Modules de tableau de bord
APORTTAB	APA	 Gadgets du tableau de bord
APORTTYP	ATP	 Groupe de gadgets
APORTUSER	APU	 Tableau de bord utilisateur
APORTVIG	AVP	 Gadgets
APRINTDES	AID	 Descriptif de l'imprimante
APRINTER	AIM	 Destinations
APROCESSUS	APR	 Processus
APROCTEXTE	AXP	 Traiter les textes
APROFIL	APF	 Profil de l'utilisateur
APROMEN	APO	 Menu Processus
APRTAUS	AIA	 Destinations par utilisateur
APRTBRW	AP2	 Multilistes
APTLPAGE	APS	 Pages du tableau de bord
APTLPAR	APP	 Paramètres d'affichage du tableau de bord
APTLVW	APV	 Vues du tableau de bord
ARCHPAR	ARC	 Règles d'archivage
ARCHPARE	ARE	 Paramètres d'archivage
ARCHPARU	ARU	 Profil utilisateur GED
ARCHPARW	ARW	 Paramètres d'archivage
AREFAML	ARN	 Références croisées de texte
AREFTXT	ART	 Références croisées de texte
AREPORT	ARP	 Dictionnaire de rapports
AREPORTA	ARA	 Configuration de l'imprimante
AREPORTD	ARD	 Paramètres du rapport
AREPORTG	ARG	 Configuration de l'imprimante
AREPORTM	ARM	 Tableau des touches d'impression temporaire
AREPORTS	ARO	 Rapports - sources de données
AREPORTV	ARV	 Rapports
AREPORTX	ARX	 Rapports
AREPORTZ	ARZ	 Rapports ZPL
AROLE	ARL	 Autorisations au niveau des lignes
ASHW	ASW	 Représentations
ASHWBLC	ASWB	 Représentation (blocs)
ASHWCOL	ASWC	 Représentations (Collections)
ASHWEXPPRO	ASWR	 Représentations (affichées)
ASHWFLD	ASWF	 Représentations (Lignes)
ASHWLNK	ASWK	 Représentations (ancres)
ASHWMENU	ASWMN	 Représentations (Menus)
ASHWMET	ASWM	 Représentation (méthodes)
ASHWOPT	ASWO	 Représentations (Options)
ASHWPAR	ASWP	 Représentation (paramètres)
ASHWPARMET	ASWMP	 Représentation (paramètre de méthode)
ASHWSEC	ASWS	 Représentation (Sections)
ASTYLE	ASY	 Styles de présentation
ASTYLEC	ASL	 Styles conditionnels
ASTYLEP	AYP	 Styles personnalisés
ASUBPROG	ASU	 Tableau des sous-programmes
ASUBPROGD	ASP	 Sous-programme (champs)
ASYSSMDBASSO	ASM3	 X3
ASYSSMEXTERN	ASM1	 X3
ASYSSMINTERN	ASM0	 X3
ASYSSMPROCES	ASM2	 X3
ATABAUD	ATA	 Champs audités
ATABDIV	ADI	 Tableaux divers
ATABIND	ATI	 Dictionnaire d'index
ATABLE	ATB	 Dictionnaire de tableaux
ATABTAB	ADV	 Mise en place diverses des tables
ATABZON	ATZ	 Dictionnaire de terrain
ATEXMOD	ATM	 Numéro de séquence de texte par module
ATEXTE	ATX	 Messages du dictionnaire
ATEXTEXCEP	AEX	 Exceptions (traductions)
ATEXTRA	AXX	 Textes à traduire
ATMPTRA	ATT	 Fichier de trace temporaire
ATRADIS	TAT	 Suivi import/export
ATRANSAC	ATN	 Type de transaction
ATYPE	ATY	 Types de données
ATYPELNK	ATYL	 Liens de types de données
ATYPELPAR	ATYLP	 Paramètres de type de données
ATYPEPRO	ATYP	 Type de contenu
ATYPERPAR	ATYRP	 Paramètres de type de données
ATYPERUL	ATYR	 Règles de type de données
AUDITBI	AUI	 Audit bl
AUDITH	AUD	 Audit - en-tête
AUDITL	AUL	 Audit - lignes
AUPDATE	AUPD	 Mise à jour
AUPDATELINE	AUPDL	 Mise à jour
AUPDATEPATH	AUPDP	 Mise à jour
AURL	AUR	 Définition de l'URL
AUSRBPR	AUB	 Utilisateurs BP
AUSRSOL	AUO	 Utilisateurs des solutions
AUSRSTA	AUA	 Statistiques
AUTILIS	AUS	 Utilisateurs
AUTILITY	AUTI	 Utilitaires
AVALATT	AVA	 Valeurs des numéros de séquence
AVALNUM	AVN	 Valeurs des numéros de séquence
AVARLOC	AVR	 Configuration de l'assistant de formule
AVIEW	AVW	 Dictionnaire de vues
AVIEWB	AVB	 Dictionnaire de vues
AVIEWC	AVC	 Dictionnaire des clés
AVIEWD	AVD	 Dictionnaire de vues
AVIEWE	AVE	 Liste des tables et vues
AVOCAB	AVO	 Vocabulaire personnalisé
AVOLUME	AVL	 Volume
AWEBSERDES	AWY	 Cartographie des services Web
AWEBSERVIC	AWE	 services Web
AWINBOUT	AWT	 Dictionnaire des boutons de fenêtre
AWINBRO	AWB	 Dictionnaire de la fenêtre du navigateur
AWINDOW	AWI	 Dictionnaire des fenêtres
AWINPAR	AWP	 Paramètres de la fenêtre
AWRKHISDES	AWO	 Historique du flux de travail
AWRKHISJOI	AWJ	 Historique du flux de travail
AWRKHISMES	AWG	 Historique des messages du flux de travail
AWRKHISSUI	AWS	 Archives de suivi du flux de travail
AWRKLNK	AWM	 Modèles de données
AWRKPAR	AWA	 Règles de flux de travail
AWRKPARC	AWC	 Règles de workflow (actions)
AWRKPARF	AWF	 Règles de workflow (signature)
AWRKPARH	AWH	 Règles de workflow (destinataire)
AWRKPARX	AWX	 Flux de travail simplifié
AWRKREG	AWR	 Règles d'affectation
AWRKREGVAL	AWV	 Affectation des utilisateurs
AWRKTAB	AWK	 Modèles de données
AWRKTRN	AWW	 Établi de flux de travail
AWRKTRND	AWD	 Établi de flux de travail
AWRKUSR	AWU	 Délégués utilisateurs
AWSDL	AXL	 services Web
AWSDL1	AX1	 Structure des services Web
AYTACT	AYA	 Action Web
AYTADVPAR	AYU	 Configuration avancée
AYTBASKED	AYK	 Ligne de panier
AYTDOC	AYY	 Document HTML
AYTELTBLC	AYB	 Blocs
AYTELTBLCW	AYW	 Blocs conditionnés
AYTELTDLK	AYL	 Liens dynamiques
AYTELTFLD	AYF	 Jeton de champ
AYTELTSPE	AYX	 Champs spéciaux
AYTENT	AYE	 Entité
AYTFCY	AYS	 Sites Internet
AYTFRM	AYZ	 Formulaire
AYTINT	AYI	 Interface
AYTLINES	AYN	 Lignes par types
AYTMEN	AYC	 Liste de valeurs
AYTMES	AYM	 messages
AYTPAG	AYG	 les pages Web
AYTPOOWEB	AYO	 Pools de services Web
AYTPRF	AYD	 Profil du site Internet
AYTPRFUSR	AYH	 Profil Safe X3 WAS
AYTPRFX3	AYR	 Utilisateur du site Web
AYTTEST	AYT	 Essais
BADDTER	BAT	 Conditions de créance irrécouvrables
BALAGEEOY	BGY	 Liste des factures en souffrance EOFY
BALANA	BLA	 Balance analytique
BALANCE	BAL	 Bilan général
BALCONSO	BLC	 Balance de vérification de consolidation
BALDEM	BAM	 Solde en double entrée
BALDEMIDT	BAI	 Indice de solde en double entrée
BALPRECSL	BLP	 Soldes de pré-consolidation
BANK	BAN	 comptes bancaires
BANKCASHREG	BCREG	 Banque/Caisse enregistreuse
BANKPOSD	BPL	 Situation bancaire
BANREC	BEH	 Relevé de rapprochement bancaire
BANRECD	BED	 Lignes de relevé bancaire
BAPPOINT	BAP	 Rendez-vous
BASGEN	BAS	 Assiette de participation aux bénéfices
BASIND	HRBAI	 Individuel. Base du schéma DPS
BATCH	BTC	 Paramètres du travail par lots
BBLOB	BBB	 Dossiers spéciaux
BCKITOREN	BREN	 Raison de l'intégration de la sauvegarde
BCLOB	BCB	 Dossiers spéciaux
BDTTRK	BDT	 Mauvaises dettes
BENCHTRS	BTS	 Planification d'opération
BETCPY	BCH	 Paramètres intersociétés
BETCPYL	BCL	 Paramètres intersociétés
BGRBAN	BGR	 Groupe bancaire
BID	BID	 Relevé d'identification bancaire
BIDXT	BIDXT	 Relevé d'identification bancaire
BILIND	BIN	 Indicateurs du rapport annuel des salariés
BILLLADC	BOLC	 Contenu du connaissement
BILLLADD	BOLD	 Détail du connaissement
BILLLADH	BOLH	 En-tête du connaissement
BILLLADWRK	BOLW	 Rapport sur le connaissement
BILRES	BIL	 Rapport annuel des employés
BILSTA	BES	 Relevé BOE et billet à ordre
BILTXT	BIX	 Rapport annuel des employés
BITMPPORDERP	BIPOP	 Prix ??des bons de commande
BITMPPORDERQ	BIPOQ	 Quantités de bons de commande
BITMPSORDERP	BISOP	 Commandes clients - prix
BITMPSORDERQ	BISOQ	 Commandes clients - quantités
BLACMM	BLM	 Solde analytique des engagements
BLAQTY	BLQ	 Bilan quantitatif analytique
BLOBEXPENSES	BEXP	 Photo de note de frais
BNKTRSIMP	BTI	 Importer des transferts depuis la trésorerie de Sage
BOM	BOH	 Nomenclatures d'en-tête
BOMCREF	BCR	 Référence du composant
BOMD	BOD	 Nomenclatures détaillées
BOMPRN	BOP	 Imprimer les nomenclatures
BOMRET	BMR	 Kit d'essai
BOMWUS	BOW	 Nomenclature d'utilisation
BOSIMP	BOSI	 Nomenclature de sous-traitance
BOX1099	BX9	 1099 boîte
BP1096PRN	B96R	 1096 table d'impression
BP1099BEGBAL	B9B	 1099 solde d'ouverture
BP1099PRN	B9R	 1099 tableaux d'impression
BPADDRESS	BPA	 Adresses
BPADDRESSPOR	BPAPOR	 Adresses
BPADDRESSSA	BPASA	 Adresses
BPADDRESSXT	BPAXT	 Adresses
BPARTNER	BPR	 Associé
BPCARRIER	BPT	 Transporteurs
BPCCATEG	BCG	 Catégorie de client
BPCINVLIG	SIL	 Lignes de facture client
BPCINVLIGA	SIA	 Ligne analytique client
BPCINVLIGLOC	SILLOC	 Lignes de facture client
BPCINVVAT	SIT	 Les taux d'imposition
BPCUSTMVT	MVC	 Transactions clients
BPCUSTOMER	BPC	 Clients
BPCUSTOMERXT	BPCTX	 Clients
BPDLVCUST	BPD	 Client livré
BPDLVCUSTXT	BPDXT	 Client livré
BPEXCEPT	BPE	 Exception de la société BP
BPMISC	BPM	 Donneur d'ordre / tiers divers
BPMISCCGF	BPG	 Configuration BP divers
BPS1099GEN	B9G	 Génération 1099
BPS1099MNT	B9M	 Maintenance fournisseur 1099
BPS1099PAY	B9P	 Paiements fournisseur 1099
BPSCATEG	BSG	 Catégorie de fournisseur
BPSHISUPLN	BSL	 Adresses de livraison
BPSHISUPP	BSS	 Fournisseurs de sites d'expédition
BPSINVLIG	PIL	 Lignes de facture fournisseur
BPSINVLIGA	PIA	 Ligne analytique fournisseur
BPSUPPLIER	BPS	 Fournisseurs
BPSUPPMVT	MVS	 Opérations fournisseurs
BRDKEY	BRD	 Clé de répartition
BSEINQ	BSI	 Enquête sur le bilan
BSIBPRNUM	BSIBPN	 Définition du numéro BP
BSIBPRNUMD	BSIBPND	 Détail de la définition du numéro BP
BSIDUD	BSIDUD	 Éléments ouverts
BSIELTMAP	BSIELT	 Détails du mappage des éléments Camt
BSIELTMAPD	BSIELTD	 Mappage des éléments Camt
BSIFILFMT	BSIFFM	 Définition du format d'import bancaire
BSIFILFMTD	BSIFFD	 Format d'importation bancaire déf. détail
BSIIMP	BSIIMP	 Importation de relevé bancaire
BSIIMPD	BSIIMPD	 Détail de l'importation du relevé bancaire
BSIIMPDS	BSIIMPS	 Relevé bancaire imp. sous-détail
BSIIMPPAR	BSIIP	 Paramètres d'importation bancaire
BSIIMPTC	BSITC	 Codes de type d'importation bancaire
BSIINVDIO	BSIIND	 Définition du numéro de facture
BSIINVDIOD	BSIINDD	 Numéro de facture déf. détail
BSIITCD	BSIITCD	 Codes de type d'importation bancaire
BSIMANENT	BSIMAN	 Saisie manuelle
BSIPAY	BSIPAY	 Paiements
BSISCT	BSISCT	 Segment d'importation bancaire
BSISCTD	BSISCTD	 Détail du segment d'importation bancaire
BSISEAEXD	BSISEA	 Termes exclus
BSISEALIS	BSILIS	 Liste des termes de recherche
BSISEALISD	BSILISD	 Détail de la liste des termes de recherche
BUD	BUD	 Tableau budgétaire
BUDAPP	BOA	 Approbation du budget
BUDAPPDET	BAD	 Détail de l'approbation
BUDFORCAL	BUC	 Formule de calcul du budget
BUDOD	BDE	 Divers budgets. opérations
BUDODS	BDO	 Divers budgets. opérations
BUDPAR	BUP	 Configuration budgétaire
BUDPURAUD	BUA	 Audit
BUDREF	BUR	 Budget de référence
BUDREV	BRV	 Révision budgétaire
BUDREVDET	BVD	 Détails de l'examen
BUDTYP	BUT	 Type de budget
BUDVARCAL	BVC	 Variable de calcul budgétaire
BUDVER	BUV	 Versions budgétaires
BUILOCSPA	BLS	 Emplacement du bâtiment
BULCAL	BUL	 Feuillet de calendrier
CAAUZ	CAZ	 Tableau des restrictions
CACCE	CCE	 Dimensions
CACCEDEF	CDE	 Dimensions par défaut
CADIEDEF	CDI	 Types de dimensions par défaut
CADIETPS	CDT	 Types de dimensions
CADISTMP	DTP	 Codes de pondération budgétaire
CADSP	DSP	 Allocations analytiques
CAECOD	CAEC	 Code CAE
CAISSE	PCA	 Fonds de contribution
CALCDBG	CDG	 Calcul
CALENDAFF	CLF	 Projet de produits vendus
CALENDAR	CLD	 Calendriers
CALIBRAT	CBT	 Étalonnage
CALIGUIDES	CGD	 Guides d'étalonnage
CALLATTEMP	CTT	 Tentative d'appel
CALRUB	CRB	 Rubriques à calculer
CALRUBHIS	CRH	 Rubriques à calculer
CALVAR	CVR	 Variables à calculer
CAPFLOTMP	CWT	 Flux de capitaux
CAPVAR	CPV	 Variation de capacité
CARAREA	CAA	 Régions porteuses
CARPRICE	CAP	 Listes de prix des transporteurs
CASHING	CAS	 Collections
CASHPAYSPA	CPS	 Paiement en éspèces
CBLOB	CBB	 Dossiers spéciaux
CBNDET	CBD	 Détail du MRP
CBNHEA	CBH	 Traitement MRP
CBNWRK	CBW	 Fichier de travail MRP
CCMACTION	CCMACT	 Actions
CCMAPPROVER	CCMAPPR	 Approbateurs de demandes de changement
CCMCHGREQ	CCMCR	 Changer de requête
CCMCRDESC	CCMCRD	 Description de la demande de modification
CCMCRNOTES	CCMCRN	 Pièces jointes à la demande de modification
CCMCRORIGC	CCMCROC	 Créateurs de clients
CCMCRORIGE	CCMCROE	 Créateurs externes
CCMCRORIGI	CCMCROI	 Créateurs internes
CCMCRORIGS	CCMCROS	 Créateurs de fournisseurs
CCMIMPBOD	CCMIBOD	 Analyse d'impact-Lignes de nomenclature
CCMIMPBOH	CCMIBOH	 Analyse d'impact-BOM
CCMIMPFOD	CCMIFOD	 Analyse d'impact-Prévisions
CCMIMPFOH	CCMIFOH	 Analyse d'impact-Prévisions
CCMIMPITM	CCMIITM	 Analyse d'impact-Stock
CCMIMPITMDET	CCMITMD	 Analyse d'impact-Sites de stockage
CCMIMPMFGD	CCMMFGD	 Analyse d'impact-Bons de travail
CCMIMPMFGH	CCMMFGH	 Analyse d'impact-Bons de travail
CCMIMPPOD	CCMIPOD	 Analyse d'impact-Achats
CCMIMPPOH	CCMIPOH	 Analyse d'impact-Achats
CCMIMPPRD	CCMIPRD	 Analyse d'impact-Demande d'achat
CCMIMPPRH	CCMIPRH	 Analyse d'impact-Demande d'achat
CCMIMPROD	CCMROD	 Analyse d'impact-Lignes de routage
CCMIMPROH	CCMROH	 Analyse d'impact-Routage
CCMIMPSCD	CCMSCD	 Analyse d'impact-Sous-traitance
CCMIMPSCH	CCMSCH	 Analyse d'impact-Sous-traitance
CCMIMPSOD	CCMSOD	 Analyse d'impact-Commandes clients
CCMIMPSOH	CCMSOH	 Analyse d'impact-Commandes clients
CCMIMPSQD	CCMISQD	 Analyse d'impact-Devis de vente
CCMIMPSQH	CCMISQH	 Analyse d'impact-Devis de vente
CCMPLAND	CCMPD	 Détails du plan de demande de modification
CCMPLANH	CCMPH	 Modifier l'en-tête du plan de demande
CCMREJDSC	CCMREJ	 Description du rejet
CCNCOE	COE	 Mettre à jour les coefficients
CCNRPR	RPR	 Dispositions de renouvellement
CDFCOD	CDC	 Encodage : codes
CDFCPY	CDS	 Encodage : sélectionner la société
CDFFCY	CDY	 Encodage : sélectionner le site
CDFPAR	CDP	 Recodage : paramètre
CDIADSP	DAD	 Allocations de dimensions
CERTIFCCS	CCS	 Certificat de fonds de divertissement
CFGABQ	CAB	 Tableaux de calcul simples
CFGDEF	CDF	 Configuration. les valeurs par défaut
CFGHIS	CFH	 Historique des configurations
CFGHISHEA	CHH	 En-tête de l'historique de configuration
CFGLNK	CLN	 Liens vers les symboles du configurateur
CFGMAC	CFM	 Processus standards
CFGMEMO	CME	 Mémo du configurateur
CFGMENLOC	CML	 Menus locaux
CFGOPTVAR	COV	 Options / variantes
CFGQST	CQU	 Symboles du configurateur
CFGSCE	CSC	 Scénarios du configurateur
CFGSCELIN	CSL	 Lignes de scénario du configurateur
CFGSEL	CSE	 Sélections du configurateur
CFGSHA	CSH	 Formes et motifs
CFGTEX	CFT	 Fichier de travail du configurateur
CFODUDDATE	CFODD	 Gestion des prévisions de trésorerie
CFOMANMVT	CFOMM	 Mouvements des prévisions de trésorerie
CFOTYP	CFOT	 Types de prévisions de trésorerie
CGVDET	CGVD	 Détail du changement de valeur
CHEFWRK	CEW	 Gestion des signatures
CHGVAL	CGV	 Changement de valeur
CHQBOK	CHB	 Tableau des chèques
CHQDEJHEA	CQH	 Ch??ques d?«jeuner
CHQDEJLIG	HRCQL	 Ch??ques d?«jeuner
CHQNUM	CHN	 Tableau des chèques
CIGDEF	CIG	 IGS définition
CIGFXDSOR	CIB	 Ajustement IGS : actifs émis
CIGREX	CIR	 Paramètres IGS
CIGREXSEL	CIS	 Sélection des actifs IGS
CLACTR	HRCLC	 Clause relative aux documents
CLASSCONV	HRCCV	 Classification des conventions collectives
CMARKETING	CMG	 Campagne de marketing
CNGCPY	CNG	 Périodes de congés annuels
CNGEMP	CNE	 Congé annuel par salarié
CNSSII	CSII	 Enquête SII
COFAWRK	CAW	 Certificat d'analyse
COMPANY	CPY	 Entreprise
COMPETENCE	CPC	 Compétences
COMPETENCED	CPD	 Compétences
COMPEVAL	CEV	 Campagne d'entretiens
COMREP	COM	 Commissions des commerciaux
CONCESSION	CCN	 Concession
CONTACT	CNT	 Contacts
CONTACTCRM	AIN	 Relations de contact
CONTACTSA	CNTSA	 Champs RSA supplémentaires
CONTACTXT	CNTXT	 Contacts
CONTAINER	CTRH	 Conteneur de fret
CONTAINERD	CTRD	 Détail du conteneur de fret
CONTAINERS	CTN	 Conteneurs
CONTAMT	CAM	 Bases de données annuelles
CONTAMTX	CAX	 Bases de données annuelles
CONTCARE	CCA	 Plan de maintenance
CONTCOV	CCV	 Couverture des contrats de service
CONTEXT	CNX	 Contextes
CONTIDX	CIX	 Valeurs d'index
CONTITM	CIT	 Produit couvert
CONTPBL	CPL	 Compétences couvertes
CONTQUAL	CQL	 Contraintes de qualité
CONTREW	CRE	 Renouvellements de contrats
CONTREWX	CRX	 Renouvellements de contrats
CONTSERV	CON	 Contrat de service
CONTSERVX	COX	 Contrat de service
CONTTEMPL	COT	 Modèle de contrat de service
CORREP	COP	 Représentant responsable
CORRESPOND	COR	 Contact Outlook
COSTSTCB	STCB	 Structure des coûts - calendriers
COSTSTCD	STCD	 Structure des coûts - documents
COSTSTCF	STCF	 Structure des coûts - site
COSTSTCH	STCH	 La structure des coûts
COSTSTCL	STCL	 Structure des coûts - lignes
COSTSTCR	STCR	 Correspondance des coûts
COTISATION	HRCOT	 Contributions
COURISLIG	CIL	 Lignes de programme individuelles
COURSEI	CSI	 Programme individuel
COURSEISA	CSISA	 Programme individuel
COUT	COU	 Coût provisoire
