    Table  	Table Abbreviation	Column	 Normal title  	Type	Length	expression
ABATABT  	ABA	DOSSIER	 Dossier	ADS		[ADS]DOSSIER=[ABA]DOSSIER
ABATABT  	ABA	DREL	 Rappel	M	4	
ABATABT  	ABA	ENAFLG	 Actif	M	4	
ABATABT  	ABA	EPUR	 Purge	M	4	
ABATABT  	ABA	FDM	 La fin du mois	M	4	
ABATABT  	ABA	FORCE	 Exécution forcée	M	4	
ABATABT  	ABA	FRQ	 Fréquence (min)	L	8	
ABATABT  	ABA	GRP	 Groupe	ABG		[ABG]ABG0=[ABA]GRP
ABATABT  	ABA	HDEB	 Heure de début	HM		
ABATABT  	ABA	HEURE	 Temps	HM		
ABATABT  	ABA	HFIN	 Heure de fin	HM		
ABATABT  	ABA	JOUR	 Date actuelle	M	4	
ABATABT  	ABA	LAN	 Langue	LAN		[TLA]TLA0=[ABA]LAN
ABATABT  	ABA	NBDAT	 Nombre de lignes	C	3	
ABATABT  	ABA	NOMABT	 Description	DES		
ABATABT  	ABA	ONE	 Une seule requête	M	4	
ABATABT  	ABA	PERIO	 Périodicité	M	15	
ABATABT  	ABA	QUANT	 Jours du mois	C	2	
ABATABT  	ABA	TACHE	 Code de tâche	ABT		[ABT]CODTAC=[ABA]TACHE
ABATABT  	ABA	UPDDAT	 Date de modification	D		
ABATABT  	ABA	UPDDATTIM	 Date et heure	ADATIM		
ABATABT  	ABA	UPDTIM	 Temps	L	8	
ABATABT  	ABA	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABA]UPDUSR
ABATABT  	ABA	USER	 Code d'utilisateur	AUS		[AUS]CODUSR=[ABA]USER
ABATABTD  	ABD	AUUID	 Identifiant unique	AUUID		
ABATABTD  	ABD	CODABT	 Code de tâche récurrente	ABA		[ABA]CODABT=[ABD]CODABT
ABATABTD  	ABD	CODTAC	 Code de tâche	ABT		[ABT]CODTAC=[ABD]CODTAC
ABATABTD  	ABD	CREDATTIM	 Date et heure	ADATIM		
ABATABTD  	ABD	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABD]CREUSR
ABATABTD  	ABD	LIG	 Numéro de ligne	C	3	
ABATABTD  	ABD	NUM	 Nombre	C	4	
ABATABTD  	ABD	PARAM	 Paramètre	A	15	
ABATABTD  	ABD	UPDDATTIM	 Date et heure	ADATIM		
ABATABTD  	ABD	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABD]UPDUSR
ABATABTD  	ABD	VALEUR	 Valeur	A	30	
ABATABTD2  	A22	AUUID	 Identifiant unique	AUUID		
ABATABTD2  	A22	CODABT	 Code de tâche récurrente	ABA		[ABA]CODABT=[A22]CODABT
ABATABTD2  	A22	CODTAC	 Code de tâche	ABT		[ABT]CODTAC=[A22]CODTAC
ABATABTD2  	A22	CREDATTIM	 Date et heure	ADATIM		
ABATABTD2  	A22	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[A22]CREUSR
ABATABTD2  	A22	DEB	 Valeurs de départ	A	15	
ABATABTD2  	A22	FIN	 Valeurs finales	A	30	
ABATABTD2  	A22	LIG	 Numéro de ligne	C	3	
ABATABTD2  	A22	NUM	 Nombre	C	4	
ABATABTD2  	A22	UPDDATTIM	 Date et heure	ADATIM		
ABATABTD2  	A22	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[A22]UPDUSR
ABATCAL  	ABC	AUUID	 Identifiant unique	AUUID		
ABATCAL  	ABC	COD	 Calendrier	ABC		[ABC]ABC0=[ABC]COD
ABATCAL  	ABC	CREDAT	 Date créée	D		
ABATCAL  	ABC	CREDATTIM	 Date et heure	ADATIM		
ABATCAL  	ABC	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABC]CREUSR
ABATCAL  	ABC	DES	 Description	DES		
ABATCAL  	ABC	ENDDAT	 Date de fin	D		
ABATCAL  	ABC	NBRDAT	 Nombre de lignes	C	4	
ABATCAL  	ABC	STRDAT	 Date de début	D		
ABATCAL  	ABC	UPDDAT	 Date de modification	D		
ABATCAL  	ABC	UPDDATTIM	 Date et heure	ADATIM		
ABATCAL  	ABC	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABC]UPDUSR
ABATGRP  	ABG	AUUID	 Identifiant unique	AUUID		
ABATGRP  	ABG	CNTERR	 Continuer si erreur	M	4	
ABATGRP  	ABG	CODGRP	 Groupe	ABG		[ABG]ABG0=[ABG]CODGRP
ABATGRP  	ABG	CODTAC	 Code de tâche	ABT		[ABT]CODTAC=[ABG]CODTAC
ABATGRP  	ABG	CREDAT	 Date créée	D		
ABATGRP  	ABG	CREDATTIM	 Date et heure	ADATIM		
ABATGRP  	ABG	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABG]CREUSR
ABATGRP  	ABG	DES	 Description	ATX		
ABATGRP  	ABG	ENAFLG	 Actif	M	4	
ABATGRP  	ABG	HOR	 Contraintes horaires	ABH		[ABH]ABH0=[ABG]HOR
ABATGRP  	ABG	MODULE	 Module	M	15	
ABATGRP  	ABG	NBTAC	 Nombre	C	4	
ABATGRP  	ABG	NIVEAU	 Niveau d'autorisation	C	2	
ABATGRP  	ABG	RTTAG	 Balise d'exécution	RTTAG		
ABATGRP  	ABG	SEQ	 Séquence	L	8	
ABATGRP  	ABG	UPDDAT	 Date de modification	D		
ABATGRP  	ABG	UPDDATTIM	 Date et heure	ADATIM		
ABATGRP  	ABG	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABG]UPDUSR
ABATHOR  	ABH	AUUID	 Identifiant unique	AUUID		
ABATHOR  	ABH	CAL	 Calendrier	ABC		[ABC]ABC0=[ABH]CAL
ABATHOR  	ABH	COD	 Contrainte	ABH		[ABH]ABH0=[ABH]COD
ABATHOR  	ABH	CREDAT	 Date créée	D		
ABATHOR  	ABH	CREDATTIM	 Date et heure	ADATIM		
ABATHOR  	ABH	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABH]CREUSR
ABATHOR  	ABH	DAYOPE	 Jour ouvrable	M	4	
ABATHOR  	ABH	DES	 Description	DES		
ABATHOR  	ABH	ENDCLO	 Heure de fin	HM		
ABATHOR  	ABH	ENDOPE	 Heure de fin	HM		
ABATHOR  	ABH	NBRCLO	 Lignes	C	4	
ABATHOR  	ABH	NBROPE	 Lignes	C	4	
ABATHOR  	ABH	STRCLO	 Heure de début	HM		
ABATHOR  	ABH	STROPE	 Heure de début	HM		
ABATHOR  	ABH	UPDDAT	 Date de modification	D		
ABATHOR  	ABH	UPDDATTIM	 Date et heure	ADATIM		
ABATHOR  	ABH	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABH]UPDUSR
ABATPAR  	ABP	APPLI	 Nom du serveur	A	10	
ABATPAR  	ABP	AUUID	 Identifiant unique	AUUID		
ABATPAR  	ABP	CREDATTIM	 Date et heure	ADATIM		
ABATPAR  	ABP	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABP]CREUSR
ABATPAR  	ABP	FLGPATCH	 Correctif	M	4	
ABATPAR  	ABP	JOB	 Lot	M	4	
ABATPAR  	ABP	LECPID	 En attente de lecture du PID	C	2	
ABATPAR  	ABP	NBTACHE	 Nbre de demandes actives	C	2	
ABATPAR  	ABP	NUMREQ	 Numéro de requête	L	8	
ABATPAR  	ABP	PROCESS	 Processus n°	A	10	
ABATPAR  	ABP	REPJOB	 Fichiers batch	FIC	80	
ABATPAR  	ABP	RETARD	 En retard	L	8	
ABATPAR  	ABP	RQTLOG	 Enregistrer	M	4	
ABATPAR  	ABP	SPOOL	 Clé de recherche	A	1	
ABATPAR  	ABP	STOP	 Drapeau d'arrêt	C	1	
ABATPAR  	ABP	TEMPS	 Recherche	L	8	
ABATPAR  	ABP	TIMIMP	 Temps mort	L	8	
ABATPAR  	ABP	TIMOUT	 Temps mort	L	8	
ABATPAR  	ABP	UPDDATTIM	 Date et heure	ADATIM		
ABATPAR  	ABP	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABP]UPDUSR
ABATRQT  	ABR	AUUID	 Identifiant unique	AUUID		
ABATRQT  	ABR	CNTERR	 Continuer si erreur	M	4	
ABATRQT  	ABR	CODABT	 Code de tâche récurrente	ABA		[ABA]CODABT=[ABR]CODABT
ABATRQT  	ABR	CREDATTIM	 Date et heure	ADATIM		
ABATRQT  	ABR	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABR]CREUSR
ABATRQT  	ABR	DAT	 Date	D		
ABATRQT  	ABR	DFIN	 Date de fin	D		
ABATRQT  	ABR	DOSSIER	 Dossier	ADS		[ADS]DOSSIER=[ABR]DOSSIER
ABATRQT  	ABR	EPUR	 Purge	M	4	
ABATRQT  	ABR	ETAT	 Traitement	ADC		
ABATRQT  	ABR	FLAG	 Statut	M	15	
ABATRQT  	ABR	FLGV3	 Drapeau V3	C	4	
ABATRQT  	ABR	FRQ	 Fréquence (min)	L	8	
ABATRQT  	ABR	FRQFIN	 Heure de fin	HM		
ABATRQT  	ABR	GRP	 Groupe	ABG		[ABG]ABG0=[ABR]GRP
ABATRQT  	ABR	HDEB	 Heure de début	HS		
ABATRQT  	ABR	HEURE	 Temps	HM		
ABATRQT  	ABR	HFIN	 Temps	HS		
ABATRQT  	ABR	IMPETX	 Imprimante	C	2	
ABATRQT  	ABR	JOB	 Fichier batch	FIC	50	
ABATRQT  	ABR	LAN	 Langue	LAN		[TLA]TLA0=[ABR]LAN
ABATRQT  	ABR	MESSAGE	 Message - utilisateur	M	4	
ABATRQT  	ABR	MONO	 Utilisateur unique	M	4	
ABATRQT  	ABR	MOTINT	 Raison de l'interruption	DES		
ABATRQT  	ABR	NUMGRP	 N ° de commande.	L	8	
ABATRQT  	ABR	NUMREQ	 Numéro de requête	L	8	
ABATRQT  	ABR	ONE	 Une seule requête	M	4	
ABATRQT  	ABR	PORT	 Port	L	8	
ABATRQT  	ABR	PRIO	 Priorité	C	2	
ABATRQT  	ABR	PROCESS	 Processus n°	A	10	
ABATRQT  	ABR	RTTAG	 Balise d'exécution	RTTAG		
ABATRQT  	ABR	SEQGRP	 Séquence	L	8	
ABATRQT  	ABR	SERVER	 Serveur	AMC		
ABATRQT  	ABR	SESSIONID	 ID de session	L	8	
ABATRQT  	ABR	TACHE	 Code de tâche	ABT		[ABT]CODTAC=[ABR]TACHE
ABATRQT  	ABR	TIMOUT	 Temps mort	L	8	
ABATRQT  	ABR	TYPTAC	 Type de tâche	M	15	
ABATRQT  	ABR	UPDDATTIM	 Date et heure	ADATIM		
ABATRQT  	ABR	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABR]UPDUSR
ABATRQT  	ABR	USER	 Code d'utilisateur	AUS		[AUS]CODUSR=[ABR]USER
ABATRQT  	ABR	USRINT	 Utilisateur	AUS		[AUS]CODUSR=[ABR]USRINT
ABATRQT2  	A11	AUUID	 Identifiant unique	AUUID		
ABATRQT2  	A11	CODABT	 Code de tâche récurrente	ABA		[ABA]CODABT=[A11]CODABT
ABATRQT2  	A11	CREDATTIM	 Date et heure	ADATIM		
ABATRQT2  	A11	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[A11]CREUSR
ABATRQT2  	A11	DAT	 Date	D		
ABATRQT2  	A11	DEB	 Valeurs de départ	A	15	
ABATRQT2  	A11	DFIN	 Date de fin	D		
ABATRQT2  	A11	DOSSIER	 Dossier	ADS		[ADS]DOSSIER=[A11]DOSSIER
ABATRQT2  	A11	EPUR	 Purge	M	4	
ABATRQT2  	A11	ETAT	 Traitement	A	12	
ABATRQT2  	A11	FIN	 Valeurs finales	A	30	
ABATRQT2  	A11	FLAG	 Statut	M	15	
ABATRQT2  	A11	FLGV3	 Drapeau V3	C	4	
ABATRQT2  	A11	FRQ	 Fréquence (min)	L	8	
ABATRQT2  	A11	FRQFIN	 Heure de fin	HM		
ABATRQT2  	A11	GRP	 Groupe	ABG		[ABG]ABG0=[A11]GRP
ABATRQT2  	A11	HDEB	 Heure de début	HS		
ABATRQT2  	A11	HEURE	 Temps	HM		
ABATRQT2  	A11	HFIN	 Temps	HS		
ABATRQT2  	A11	IMPETX	 Imprimante	C	2	
ABATRQT2  	A11	JOB	 Fichier batch	FIC	30	
ABATRQT2  	A11	MESSAGE	 Message utilisateur	M	4	
ABATRQT2  	A11	MONO	 Utilisateur unique	M	4	
ABATRQT2  	A11	MOTINT	 Raison de l'interruption	DES		
ABATRQT2  	A11	NUMGRP	 N ° de commande.	L	8	
ABATRQT2  	A11	NUMREQ	 Numéro de requête	L	8	
ABATRQT2  	A11	ONE	 Une seule requête	M	4	
ABATRQT2  	A11	PRIO	 Priorité	C	2	
ABATRQT2  	A11	PROCESS	 Processus n°	A	10	
ABATRQT2  	A11	SERVICE	 Port	A	10	
ABATRQT2  	A11	TACHE	 Code de tâche	ABT		[ABT]CODTAC=[A11]TACHE
ABATRQT2  	A11	TIMOUT	 Temps mort	L	8	
ABATRQT2  	A11	TYPTAC	 Type de tâche	M	15	
ABATRQT2  	A11	UPDDATTIM	 Date et heure	ADATIM		
ABATRQT2  	A11	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[A11]UPDUSR
ABATRQT2  	A11	USER	 Code d'utilisateur	AUS		[AUS]CODUSR=[A11]USER
ABATRQT2  	A11	USRINT	 Utilisateur	AUS		[AUS]CODUSR=[A11]USRINT
ABATRQTL  	ABL	AUUID	 Identifiant unique	AUUID		
ABATRQTL  	ABL	CREDATTIM	 Date et heure	ADATIM		
ABATRQTL  	ABL	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABL]CREUSR
ABATRQTL  	ABL	NUM	 Nombre	C	3	
ABATRQTL  	ABL	NUMREQ	 Numéro de requête	L	8	
ABATRQTL  	ABL	PARAM	 Paramètre	A	15	
ABATRQTL  	ABL	UPDDATTIM	 Date et heure	ADATIM		
ABATRQTL  	ABL	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABL]UPDUSR
ABATRQTL  	ABL	VALEUR	 Valeur	A	30	
ABATTAC  	ABT	AUUID	 Identifiant unique	AUUID		
ABATTAC  	ABT	CODTAC	 Code de tâche	ABT		[ABT]CODTAC=[ABT]CODTAC
ABATTAC  	ABT	CREDAT	 Date créée	D		
ABATTAC  	ABT	CREDATTIM	 Date et heure	ADATIM		
ABATTAC  	ABT	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABT]CREUSR
ABATTAC  	ABT	DES	 Description	ATX		
ABATTAC  	ABT	DOSPAR	 Dossier de paramètres	ADS		[ADS]DOSSIER=[ABT]DOSPAR
ABATTAC  	ABT	ENAFLG	 Actif	M	4	
ABATTAC  	ABT	FONCTION	 Fonction	AFC		[AFC]CODINT=[ABT]FONCTION
ABATTAC  	ABT	HOR	 Contraintes horaires	ABH		[ABH]ABH0=[ABT]HOR
ABATTAC  	ABT	MESSAGE	 Message utilisateur	M	4	
ABATTAC  	ABT	MODULE	 Module	M	15	
ABATTAC  	ABT	MONO	 Utilisateur unique	M	4	
ABATTAC  	ABT	MULTIDOS	 Multi-dossier	M	4	
ABATTAC  	ABT	NIVEAU	 Niveau d'autorisation	C	2	
ABATTAC  	ABT	PARAM	 Paramètre	A	15	
ABATTAC  	ABT	PRIO	 Priorité	C	2	
ABATTAC  	ABT	PROGPAR	 Programme de paramètres	ADC		
ABATTAC  	ABT	RETARD	 En retard	L	8	
ABATTAC  	ABT	RTTAG	 Balise d'exécution	RTTAG		
ABATTAC  	ABT	TIMOUT	 Temps mort	A	10	
ABATTAC  	ABT	TRAIT	 Objet	ADC		
ABATTAC  	ABT	TYPTAC	 Type de tâche	M	15	
ABATTAC  	ABT	UPDDAT	 Date de modification	D		
ABATTAC  	ABT	UPDDATTIM	 Date et heure	ADATIM		
ABATTAC  	ABT	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABT]UPDUSR
ABICOND  	AII	ABM	 Datamart	ABM		[ABM]ABM0=[AII]ABM
ABICOND  	AII	ACV	 Code d'activité	ACV		[ACV]CODACT=[AII]ACV
ABICOND  	AII	AUUID	 Identifiant unique	AUUID		
ABICOND  	AII	CNDDEF	 Condition	AFR	250	
ABICOND  	AII	CNDORA	 État Oracle	AFR	250	
ABICOND  	AII	CNDSQL	 État du serveur SQL	AFR	250	
ABICOND  	AII	COD	 Code	AII		[AII]AII0=[AII]COD
ABICOND  	AII	CODABF	 Tableau de faits	ABF		[ABF]ABF0=[AII]CODABF
ABICOND  	AII	CODABF1	 Tableau de faits	ABF		[ABF]ABF0=[AII]CODABF1
ABICOND  	AII	CODDIM1	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM1
ABICOND  	AII	CODDIM2	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM2
ABICOND  	AII	CODDIM3	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM3
ABICOND  	AII	CODDIM4	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM4
ABICOND  	AII	CODDIM5	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM5
ABICOND  	AII	CODDIM6	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM6
ABICOND  	AII	CODDIM7	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM7
ABICOND  	AII	CODDIM8	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM8
ABICOND  	AII	CODDIM9	 Dimension	ABI		[ABI]ABI0=[AII]CODDIM9
ABICOND  	AII	CODFLD1	 Code de champ	AVA		
ABICOND  	AII	CODLNK	 Dimension	ABI		[ABI]ABI0=[AII]CODLNK
ABICOND  	AII	CREDAT	 Date créée	D		
ABICOND  	AII	CREDATTIM	 Date et heure	ADATIM		
ABICOND  	AII	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[AII]CREUSR
ABICOND  	AII	DES	 Description	ATX		
ABICOND  	AII	EXPLNK	 Expression de lien	A	80	
ABICOND  	AII	FLDDIM1	 Code de champ	AVA		
ABICOND  	AII	FLDDIM2	 Code de champ	AVA		
ABICOND  	AII	FLDDIM3	 Code de champ	AVA		
ABICOND  	AII	FLDDIM4	 Code de champ	AVA		
ABICOND  	AII	FLDDIM5	 Code de champ	AVA		
ABICOND  	AII	FLDDIM6	 Code de champ	AVA		
ABICOND  	AII	FLDDIM7	 Code de champ	AVA		
ABICOND  	AII	FLDDIM8	 Code de champ	AVA		
ABICOND  	AII	FLDDIM9	 Code de champ	AVA		
ABICOND  	AII	INTEVAL	 Titre évalué	A	60	
ABICOND  	AII	INTVALTEX	 Titre évalué	A	60	
ABICOND  	AII	MODULE	 Module	M	15	
ABICOND  	AII	ORD	 Commande	C	3	
ABICOND  	AII	TEX	 Texte d'invite	ATX		
ABICOND  	AII	TYPOPT	 Option	A	15	
ABICOND  	AII	UPDDAT	 Date de modification	D		
ABICOND  	AII	UPDDATTIM	 Date et heure	ADATIM		
ABICOND  	AII	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[AII]UPDUSR
ABIDATMRT  	ABM	ABR	 Abréviation	ABR		
ABIDATMRT  	ABM	ACTABF	 Code d'activité	ACV		[ACV]CODACT=[ABM]ACTABF
ABIDATMRT  	ABM	ANSI	 Norme ANSI	M	4	
ABIDATMRT  	ABM	AUUID	 Identifiant unique	AUUID		
ABIDATMRT  	ABM	AUZFCY	 Site d'autorisation	M	4	
ABIDATMRT  	ABM	COD	 Code	ABM		[ABM]ABM0=[ABM]COD
ABIDATMRT  	ABM	CODABF	 Tableaux de faits	ABF		[ABF]ABF0=[ABM]CODABF
ABIDATMRT  	ABM	CODACT	 Code d'activité	ACV		[ACV]CODACT=[ABM]CODACT
ABIDATMRT  	ABM	COMPL	 information additionnelle	M	4	
ABIDATMRT  	ABM	CREDAT	 Date créée	D		
ABIDATMRT  	ABM	CREDATTIM	 Date et heure	ADATIM		
ABIDATMRT  	ABM	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABM]CREUSR
ABIDATMRT  	ABM	DATNUL	 Gestion des dates nulles	M	4	
ABIDATMRT  	ABM	DUREE	 Durée	L	8	
ABIDATMRT  	ABM	FNC	 Fonction	AFC		[AFC]CODINT=[ABM]FNC
ABIDATMRT  	ABM	INTIT	 Description	ATX		
ABIDATMRT  	ABM	MESURE	 Classe de drapeau	M	4	
ABIDATMRT  	ABM	MODULE	 Module	M	15	
ABIDATMRT  	ABM	NBRABF	 Nombre de tables	C	4	
ABIDATMRT  	ABM	PREFIX	 Préfixe	M	4	
ABIDATMRT  	ABM	RESULT	 Résultat	L	8	
ABIDATMRT  	ABM	SCLASS	 Sous-classe	M	4	
ABIDATMRT  	ABM	UPDDAT	 Date de modification	D		
ABIDATMRT  	ABM	UPDDATTIM	 Date et heure	ADATIM		
ABIDATMRT  	ABM	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABM]UPDUSR
ABIDATWRH  	ABW	ADXDOS	 Dossier	ADD		
ABIDATWRH  	ABW	AUUID	 Identifiant unique	AUUID		
ABIDATWRH  	ABW	COD	 Code	ABW		[ABW]ABW0=[ABW]COD
ABIDATWRH  	ABW	CODABM	 Datamart	ABM		[ABM]ABM0=[ABW]CODABM
ABIDATWRH  	ABW	CODDBA	 Format	M	10	
ABIDATWRH  	ABW	CREDAT	 Date créée	D		
ABIDATWRH  	ABW	CREDATTIM	 Date et heure	ADATIM		
ABIDATWRH  	ABW	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABW]CREUSR
ABIDATWRH  	ABW	GRPFIL	 Utiliser des groupes de fichiers	M	4	
ABIDATWRH  	ABW	INTIT	 Description	DES		
ABIDATWRH  	ABW	LAN	 Langue	LAN		[TLA]TLA0=[ABW]LAN
ABIDATWRH  	ABW	NBRABM	 Nombre de lignes	C	4	
ABIDATWRH  	ABW	NBRDOS	 N° de dossiers	ABS		
ABIDATWRH  	ABW	SIZDAT	 Taille des données	L	8	
ABIDATWRH  	ABW	SIZIDX	 Taille de l'index	L	8	
ABIDATWRH  	ABW	SOLBI	 Solution BI	ASO		
ABIDATWRH  	ABW	UPDDAT	 Date de modification	D		
ABIDATWRH  	ABW	UPDDATTIM	 Date et heure	ADATIM		
ABIDATWRH  	ABW	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABW]UPDUSR
ABIDIM  	ABI	ABRDIM	 Abréviation	ABR		
ABIDIM  	ABI	ABRLNK	 Abréviation	ABR		
ABIDIM  	ABI	ADXDOS	 Dossier	ADD		
ABIDIM  	ABI	AUUID	 Identifiant unique	AUUID		
ABIDIM  	ABI	CLE	 Clé	A	80	
ABIDIM  	ABI	CLELNK	 Clé de lien	ANX		
ABIDIM  	ABI	CODACT	 Code d'activité	ACV		[ACV]CODACT=[ABI]CODACT
ABIDIM  	ABI	CODDIM	 Dimension	ABI		[ABI]ABI0=[ABI]CODDIM
ABIDIM  	ABI	CREDAT	 Date créée	D		
ABIDIM  	ABI	CREDATTIM	 Date et heure	ADATIM		
ABIDIM  	ABI	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABI]CREUSR
ABIDIM  	ABI	DATMAJ	 Date de mise à jour	D		
ABIDIM  	ABI	EXPLNK	 Expression de lien	A	80	
ABIDIM  	ABI	FILTRE	 Filtre	AFR	250	
ABIDIM  	ABI	FLDDAT	 Champ Date	M	4	
ABIDIM  	ABI	INDLEC	 Clé	ANX		
ABIDIM  	ABI	INTEVAL	 Titre évalué	A	60	
ABIDIM  	ABI	INTIT	 Description	ATX		
ABIDIM  	ABI	MODULE	 Module	M	15	
ABIDIM  	ABI	MULDOS	 Multi-dossier	M	4	
ABIDIM  	ABI	NBRDOS	 N° de dossiers	ABS		
ABIDIM  	ABI	NBRLNK	 Nombre de tables	ABS		
ABIDIM  	ABI	NOMBRE	 Nombre	M	4	
ABIDIM  	ABI	SUPVID	 Suppression vide	M	4	
ABIDIM  	ABI	TABLNK	 Tableaux liés	A	12	
ABIDIM  	ABI	TABORG	 Tableau d'origine	ATB		[ATB]CODFIC=[ABI]TABORG
ABIDIM  	ABI	TRTSPE	 Spécifique	ADC		
ABIDIM  	ABI	TRTSPV	 Traitement vertical	ADC		
ABIDIM  	ABI	TRTSTD	 Traitement standard	ADC		
ABIDIM  	ABI	TYPLNK	 Type de lien	M	5	
ABIDIM  	ABI	TYPMAJ	 Type de mise à jour	M	4	
ABIDIM  	ABI	UPDDAT	 Date de modification	D		
ABIDIM  	ABI	UPDDATTIM	 Date et heure	ADATIM		
ABIDIM  	ABI	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABI]UPDUSR
ABIDIMFLD  	ABJ	ACTDIM	 Code d'activité	ACV		[ACV]CODACT=[ABJ]ACTDIM
ABIDIMFLD  	ABJ	AUTO	 Auto-adhésion	ATX		
ABIDIMFLD  	ABJ	AUTOEVAL	 Auto-adhésion	A	60	
ABIDIMFLD  	ABJ	AUUID	 Identifiant unique	AUUID		
ABIDIMFLD  	ABJ	CODDIM	 Dimension	ABI		[ABI]ABI0=[ABJ]CODDIM
ABIDIMFLD  	ABJ	CODTYP	 Type de données	ATY		[ATY]CODTYP=[ABJ]CODTYP
ABIDIMFLD  	ABJ	CREDATTIM	 Date et heure	ADATIM		
ABIDIMFLD  	ABJ	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[ABJ]CREUSR
